,minimum,maximum
EX_lac__L_e,0.0,1.444
EX_glc__D_e,-1.7550776583,0.0
EX_gluIN__L_e,0.0,0.05
EX_gluOUT__L_e,0.0,0.1775
EX_gln__L_e,-4.0,0.0
EX_asp__L_e,0.0,0.05
DM_asp__L_e,0.0,263.5611402666
EX_co2_e,0.0,1000.0
EX_h_e,-787.2624896213,429.489958246
EX_h2o_e,-1000.0,186.2073784634
EX_ump_e,-4.62921e-05,0.0
EX_pi_e,-0.0003858716,0.0
EX_nh4_e,0.0,861.9184924229
EX_o2_e,-842.1457591396,0.0
EX_arg__L_e,-0.69905216,0.0
EX_pro__L_e,0.0,0.15
EX_leu__L_e,-0.0002688415,0.0
EX_ile__L_e,-0.0001151428,0.0
EX_met__L_e,-0.11570469,0.0
EX_gly_e,-0.25,0.0
EX_phe__L_e,-0.0002179643,0.0
EX_ser__L_e,-0.25,0.0
EX_ala__L_e,-0.049999997,263.5111402696
EX_ribflv_e,0.0,0.0
EX_asn__L_e,0.0,0.05
EX_fol_e,-0.006009071,0.0
EX_urea_e,0.0,192.2430654165
EX_pyr_e,0.0,0.5
PYRt2,0.0,0.5
EX_gudac_e,0.0,129.7851162161
EX_hdca_e,-0.00015,51.1313247506
EX_ptrcIN_e,0.0,0.000503
EX_ptrcOUT_e,0.0,0.69955516
EX_biomassx,0.0,0.0004024875
EX_gthox_e,0.0,15.3722219907
EX_2obut_e,0.0,0.56486437
EX_crn_e,0.0,186.7119646675
EX_val__L_e,-0.22094017,0.0
EX_spmd_e,0.0,0.6995439884
EX_sprm_e,0.0,0.6995328171
EX_5mthf_e,0.0,0.006009071
EX_tmlys_e,-186.7119646675,0.0
EX_thbpt_e,-0.0001135325,0.0
EX_CE2705_e,0.0,0.0001135325
EX_crtn_e,0.0,110.6017944743
EX_his__L_e,-0.14990476,0.0
EX_lys__L_e,-0.4986339,0.0
EX_carn_e,-471.7556990556,0.0
EX_csn_e,-299.2257744807,0.0
EX_cys__L_e,0.0,0.09977272
EX_cyan_e,-0.41541351,0.0
EX_tcyntc,0.0,0.41541351
EX_tcynt_e,0.0,0.41541351
EX_so3_e,0.0,0.41541351
EX_thr__L_e,-0.44915968,0.0
EX_trp__L_e,-0.04421569,0.0
EX_anth_e,0.0,0.04421569
EX_tyr__L_e,-0.0001135325,0.0
EX_cystinex,-0.09996805,0.0
EX_3hydroxybutanoatex,-25.0,0.0
EX_gthrd_e,-30.7444439814,0.0
EX_cmp_e,-1.95118e-05,0.0
HEX1,0.0,889.7064490973
G6PP,0.0,887.951371439
PGI,0.0,1.7550518951
PFK,0.0,889.7064162923
FBP,0.0,887.951371439
FBA,0.0,1.7550448533
TPI,0.0,1.7550448533
GAPD,0.0,3.5100861858
PGK,0.0,3.5100861858
DPGM,0.0,3.5100861858
DPGase,0.0,3.5100861858
PGM,-243.0029540905,3.5100861858
ENO,-243.0029540905,3.5100861858
PYK,0.0,803.1666701564
LDH_L,0.0,1.444
r0407,0.0,1.7550448533
PRPPS,0.0,1.3990798038
G6PDH2r,0.0,1.7550518951
PGL,0.0,1.7550518951
GND,0.0,1.7550518951
RPI,0.0,1.5177268873
TKT2,-0.4663599346,0.5850137775
RPE,-0.9327198692,1.170027555
TKT1,-0.4663599346,0.5850137775
TALA,-1.7550483742,0.5850137775
r0408,0.0,1.7550448533
PDHm,0.0,386.6093933573
PCm,0.0,1000.0
PEPCK_re,0.0,799.6565839705
CSm,0.0,531.9841174264
ACONTm,-1000.0,202.8060402757
ICDHxm,0.0,1000.0
ICDHym,-1000.0,199.044902315
AKGDm,0.0,267.5539431696
SUCOAS1m,-25.0,256.7075020036
SUCD1m,0.0,373.423936129
FUMm,-550.4984347341,318.013486641
MDHm,-1000.0,1000.0
ME1m,0.0,1000.0
ME2m,0.0,1000.0
ME2,0.0,635.5827866335
ACITL,0.0,502.0201317022
FUM,-132.547422273,794.5241526308
MDH,-1000.0,606.0673342873
AKGMALtm,-647.4231445079,999.6765013472
ACONT,0.0,1000.0
ICDHyr,0.0,1000.0
PPA,0.0,443.975790168
Complex1ROS,0.0,614.8888796283
FADH2ETC,0.0,1000.0
CYOR_u10mi,0.0,1000.0
CYOOm2i,0.0,500.0
ATPS4mi,0.0,1000.0
GLUCYS,0.0,0.41541351
GTHS,0.0,0.41541351
SPODMm,0.0,15.3722219907
GTHPi,0.0,0.69955516
GTHPm,0.0,15.3722219907
GDR,0.0,0.79952321
GTHOr,0.0,0.79952321
GDRm,0.0,15.2296967741
GTHOm,0.0,15.2296967741
r0885,0.0,30.7444439814
PYRt2m,-180.7885790068,741.2992290364
HMR_4964,0.0,1000.0
r2420,0.0,1000.0
ATPtm,0.0,1000.0
FUMtm,-691.2753304091,291.094395755
CO2tm,-301.5532506232,1000.0
O2tm,0.0,502.2966306564
r0801,-25.0,256.7075020036
THD1m,0.0,1000.0
H2Otm,-1000.0,68.0083346594
NH4tm,-491.3035073666,191.5563424464
HCO3E,0.0,439.267605762
HCO3Em,0.0,1000.0
GLUN,0.0,890.4743843414
GLNS,0.0,906.6980161992
GLUt2m,0.0,245.2018414534
GLNtm_1,0.0,245.272434303
GLUNm,0.0,245.272434303
GLUPRT,0.0,4.5411e-05
PRAGSr,0.0,4.5411e-05
GARFT,0.0,4.5411e-05
PRFGS,0.0,4.5411e-05
PRAIS,0.0,4.5411e-05
AIRCr,0.0,4.5411e-05
PRASCSi,0.0,4.5411e-05
ADSL2r,0.0,4.5411e-05
AICART,0.0,4.5411e-05
IMPC,0.0,4.5411e-05
ADSS,0.0,2.68906e-05
ADSL1r,0.0,2.68906e-05
IMPDH2,0.0,1.85205e-05
GMPS,0.0,1.85205e-05
GMPS2,0.0,1.85205e-05
GK1,0.0,1.85205e-05
RNDR2,0.0,3.9838e-06
ADK1,0.0,443.9757849633
RNDR1,0.0,5.306e-06
CBPS,0.0,4.62921e-05
ASPCT,0.0,4.62921e-05
DHORTS,0.0,4.62921e-05
DHORD9,0.0,4.62921e-05
ORPT,0.0,4.62921e-05
OMPDC,0.0,4.62921e-05
UMPK,0.0,4.62921e-05
RNDR4,0.0,5.269e-06
TMDS,0.0,5.269e-06
URIDK2r,0.0,5.269e-06
NDPK2,0.0,4.10231e-05
NDPK3,-1.57115e-05,3.8003e-06
CYTK1,-1.95118e-05,0.0
CTPS1,0.0,1.95118e-05
RNDR3,0.0,3.8003e-06
GDHm,0.0,1000.0
GLUDym,-244.4913639715,1000.0
ASPTA,-275.9555777508,1000.0
ASPTAm,0.0,1000.0
ASPGLUm,0.0,1000.0
ASPT,0.0,248.3793008199
CBPSam,0.0,191.5602172804
OCBTm,0.0,191.5602172804
ORNt4m,0.0,191.5602172804
ARGSS,0.0,224.626417632
ARGSL,0.0,224.626417632
ARGN,0.0,192.2430654165
ORNDC,0.0,0.69905216
SPMS,0.0,0.6995439884
SPRMS,0.0,0.6995328171
ADMDC,0.0,1.3990656342
MTAP,0.0,1.3990656342
ADPT,0.0,1.3990656342
MTRI,0.0,1.3990656342
MDRPD,0.0,1.3990656342
DKMPPD,0.0,1.3990656342
SPMDtex2,0.0,0.6995439884
SPRMti,0.0,0.6995328171
GLYAMDTRc,0.0,129.7851162161
ARGDr,0.0,224.626417632
r0074,-0.15,0.0001660196
GLU5SAtmc,-0.15,0.0001660196
G5SADs,-0.15,0.0001660196
PRO1x,0.0,829.5129790179
P5CR,0.0,854.9211850597
PROD2,0.0,854.9394391265
EXRiboflavin,0.0,0.0
RBFK,0.0,0.0
FMNAT,0.0,0.0
TransportFAD,0.0,854.9394391265
ASNS1,0.0,296.8247947805
ASNN,0.0,296.8747686212
METS,0.0,295.9837904797
METAT,0.0,295.9985906313
HMR_3915,0.0,295.9854946362
AHCi,0.0,295.9985906313
ADNK1,0.0,295.9985906313
CYSTS,0.0,0.11570469
CYSTGL,0.0,0.11570469
MTHFR3,0.0,110.6078035453
MetSynthesis,0.0,1.3990656342
UNK3,0.0,1.3990656342
5MTHFt,0.0,0.006009071
ILETA,0.0,0.0
3MOPt2im,0.0,0.0
ILETAm,0.0,0.0
LEUTA,0.0,4.92669e-05
4MOPt2im,0.0,4.92669e-05
LEUTAm,0.0,4.92669e-05
OIVD1m,0.0,4.92669e-05
ACOAD8m,0.0,4.92669e-05
MCCCrm,0.0,4.92669e-05
MGCHrm,0.0,4.92669e-05
HMGCOAtm,0.0,4.92669e-05
VALTA,0.0,0.22094017
3MOBt2im,0.0,0.22094017
VALTAim,0.0,0.22094017
OIVD2m,0.0,0.22094017
ACOAD9m,0.0,0.22094017
ECOAH12m,0.0,0.22094017
3HBCOAHLm,0.0,0.22094017
HIBDm,0.0,0.22094017
r0643,0.0,0.22094017
MMSAD1m,0.0,0.22094017
MMTSADm,0.0,0.22094017
PCC,0.0,0.22094017
MMALH,0.0,0.22094017
MMEm,0.0,0.22094017
MMMm,0.0,0.22094017
ILEtmi,0.0,0.0
LEUt5m,0.0,4.92669e-05
VALt5m,0.0,0.22094017
PGCD,0.0,243.5022608175
PSERT,0.0,243.5022608175
