	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000000000.0	1.0	10000000000.0	0.0	5.016170936694356	5.150008031112234	1.1373898947667718	0.07157942979018402	0.07370003668599945	0.008291969519457877
EX_glc__D_e_r	10000000000.0	1.0	10000000000.0	0.0	2.9610055914313325	3.0400490696929126	0.6716719717178807	0.10295864357269109	0.10488396878681905	0.013688361328207384
EX_gluIN__L_e	9304317774.0	1.0	9304317774.0	0.0	0.01826823753818846	0.016939825383568752	0.011407629676510279	0.002795962796017367	0.0023015788873627504	0.0021352111120873925
EX_gluOUT__L_e	9998538451.0	1.0	9998538451.0	0.0	0.03954351895989985	0.040506888751532605	0.0090889121112332	0.010960326951400153	0.011130710112714451	0.0014588742380209486
EX_gln__L_e_r	9977525657.0	1.0	9977525657.0	0.0	0.646617752382321	0.6653088280338302	0.14709372390186937	0.20307513711806705	0.20866198438585096	0.024226981606613816
EX_asp__L_e	4934861862.0	2.2609059530359916e-07	4934861862.0	0.9999997739094963	0.02760229914261351	0.0277502249080007	0.013939915194177633	0.028038637179587423	0.02946140180942325	0.012352374855856937
DM_asp__L_e	6737168962.0	1.0	6737168962.0	0.0	2.4759271075754326	1.8269202107906977	2.088325800985572	1.258533391887429	0.9434573772528415	1.1486785969022193
EX_co2_e	8743010343.0	1.0	8743010343.0	0.0	136.31750967247604	134.31806940164802	18.41197868794233	103.58350544757221	100.45235528524456	21.750729032970728
EX_h_e_f	6688377057.0	1.0	6688377057.0	0.0	311.76775429258	331.56697575819805	101.84265537090643	258.6720898788673	264.0452644552504	85.46014298706403
EX_h2o_e_f	6084545595.0	1.0	6084545595.0	0.0	118.00411794090347	130.85160274651827	49.9969562911416	101.90291561383083	105.69171172936035	46.4619728675802
EX_ump_e_r	9448113447.0	1.0	9448113447.0	0.0	9.515204027407963e-06	9.313870340867102e-06	6.113506672592095e-06	8.066014177034462e-07	7.861022778437002e-07	3.956980756180701e-07
EX_pi_e_r	10000000000.0	1.0	10000000000.0	0.0	0.00020994050808301572	0.0002134746381977	1.8772606400175038e-05	1.3148347473822065e-05	1.3360119089186428e-05	2.8224643426074837e-06
EX_nh4_e	7274960742.0	1.0	7274960742.0	0.0	96.06347700568833	91.68027525156515	22.986732296168796	74.44298386936472	69.82941200746771	30.741284004734908
EX_o2_e_r	9991063433.0	1.0	9991063433.0	0.0	102.95150873020299	102.65776847950681	10.700184592249633	62.26861244355173	62.455576584487545	6.44634545210007
EX_arg__L_e_r	7042799136.0	1.0	7042799136.0	0.0	0.0912680502531361	0.09674526405992515	0.024189607246629816	0.07914077943997551	0.08212668956230801	0.011776525248784414
EX_pro__L_e	9928901011.0	1.0	9928901011.0	0.0	4.884056769441078e-05	4.904646291070531e-05	2.155819450220206e-05	4.741336509514534e-06	4.748096255853083e-06	1.400029892024331e-06
EX_leu__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.00014736461756016366	0.00014958318262825	1.3685159625533918e-05	8.480024546191995e-06	8.62273268792475e-06	1.7863038723046316e-06
