	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	median_MCF7	std_MCF7	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	8183427593.0	1.0	8183427593.0	0.0	4.506310377775105	4.614950832424851	0.41862645345913974	3.695172333272005	3.733129505685772	0.7633326414105605
EX_glc__D_e_r	7569628660.0	1.0	7569628660.0	0.0	2.661461111034455	2.724597209431995	0.247656117810931	2.2730321033350047	2.2966566154201558	0.46854383832734586
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	356705238.0	0.0	356705238.0	1.0	0.07423712081334054	0.07604198439969345	0.0069234094360737354	0.14129101425254695	0.1416186152942573	0.038311490271895114
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	1.1704676068143434	1.1987172518941747	0.10861108837672617	0.3385776957303186	0.3425390684594935	0.06890430828129179
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	2665369797.0	0.0	2665369797.0	1.0	0.2574234898729381	0.18650488544537905	0.24043623624855365	0.6321594268618101	0.45485008404971217	0.5558193559500579
EX_co2_e	53978.0	0.0	53978.0	1.0	35.3869953864616	35.495223652049205	2.3235924393237606	64.98301814113665	64.0140923409183	8.331309471790993
EX_h_e_f	2367372095.0	0.0	2367372095.0	1.0	197.59228367754957	191.0367261780758	107.17672811669014	309.1497567579401	326.5268180674963	115.16978559536216
EX_h2o_e_f	4044692829.0	0.0	4044692829.0	1.0	89.93202859845155	89.38093112607785	51.68336473167606	106.3528577004169	107.6674896454482	38.52493240760341
EX_ump_e_r	7221481791.0	1.0	7221481791.0	0.0	1.844810706927656e-05	1.7708412169899082e-05	1.0361162780435423e-05	1.1130770500178071e-05	1.1354104732874673e-05	5.399028907138941e-06
EX_pi_e_r	9820097176.0	1.0	9820097176.0	0.0	0.00038830805721868863	0.0004024946618566	7.336631033872313e-05	0.00019805604010228543	0.0002039507967679	2.388934830179772e-05
EX_nh4_e	2323997.0	0.0	2323997.0	1.0	13.482961882476891	13.208344965036492	2.4228463406289067	37.28824583781074	34.45436309443569	11.141869195400542
EX_o2_e_r	0.0	0.0	0.0	1.0	19.597218671289554	19.634467386625353	1.40987051802614	50.800718454262714	50.7611756655926	6.258988656635139
EX_arg__L_e_r	9880726858.0	1.0	9880726858.0	0.0	0.19459070761034203	0.20083321991295272	0.04921742698349158	0.07657451268255057	0.07757235418007985	0.005099480358667729
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	9786089514.0	1.0	9786089514.0	0.0	0.00027116117724535735	0.0002792515991554	5.2830232026300694e-05	0.00013795885917670034	0.0001419410044813	1.8039905178823997e-05
EX_ile__L_e_r	9805564136.0	1.0	9805564136.0	0.0	0.0001246601048163683	0.00012937934745125	2.391755029055496e-05	6.415817928955216e-05	6.648591982869349e-05	7.608721193154714e-06
EX_met__L_e_r	9191500321.0	1.0	9191500321.0	0.0	0.015455944244295222	0.01518107009871115	0.010021984039528526	0.0018360765227985797	0.0019787168638993	0.0007728976246629975
EX_gly_e_r	8804704636.0	1.0	8804704636.0	0.0	0.1223083057036054	0.12005998974582541	0.06415266878833463	0.03607682313536769	0.0314738457168275	0.025745002159524733
EX_phe__L_e_r	9718125979.0	1.0	9718125979.0	0.0	0.00015403335145257677	0.00015512296941225001	3.6674162259241614e-05	7.71562440944446e-05	7.613667316815152e-05	1.5556195593383376e-05
EX_ser__L_e_r	9621246770.0	1.0	9621246770.0	0.0	0.15574586359869155	0.16348776148399205	0.058367167483151454	0.03170953652865755	0.026443002416490002	0.024560373055301024
EX_ala__L_e_f	3633723360.0	0.0	3633723360.0	1.0	0.3234154345446568	0.22812703915644325	0.3204239553055911	0.5769807955400041	0.38774851377302877	0.5748066968628727
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	10834479.0	0.0	10834479.0	1.0	0.00015542810223120168	0.0001591664470484	4.7517090208905666e-05	0.0009444504933846757	0.00099457658077175	0.00024106041267194284
EX_urea_e	7970137365.0	1.0	7970137365.0	0.0	0.06800697461057627	0.06317416438649881	0.04655356659221038	0.02402600669413418	0.020830770306410902	0.017663696052920164
EX_pyr_e					0.0	0.0	0.0	0.0	0.0	0.0
PYRt2					0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	7432608474.0	1.0	7432608474.0	0.0	0.056141749546718814	0.0472350785298482	0.04218915533648291	0.022921347921938732	0.020734640626406398	0.01607026661210816
EX_hdca_e_f	10000000000.0	1.0	10000000000.0	0.0	1.9709461972286482	1.9673932203843212	0.15966953741814593	0.1582276279580899	0.11789171990086555	0.1429577878021142
EX_ptrcIN_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcOUT_e	9947461049.0	1.0	9947461049.0	0.0	0.16070230538416835	0.16459847223868054	0.05343517546370793	0.016889040232603642	0.013834065671982549	0.013258064487592593
EX_biomassx	9805564136.0	1.0	9805564136.0	0.0	0.00043575564991507533	0.00045225199928445	8.360499685599641e-05	0.00022426813417857308	0.0002324048680034	2.659666661943611e-05
EX_gthox_e	3384343522.0	0.0	3384343522.0	1.0	0.31823115296514415	0.32029968130837005	0.15631470097607567	0.5082623297249306	0.4575417952243244	0.33242852566191744
EX_2obut_e	9710711980.0	1.0	9710711980.0	0.0	0.22663682097752974	0.19352815052003242	0.1482980796023033	0.02519204567942603	0.0260435913141323	0.0059917788426908855
EX_crn_e	0.0	0.0	0.0	1.0	-2.2288118638333856e-16	-2.689228014136354e-16	2.4645084467119e-16	2.7552935910272134	2.7880516313986905	1.461815798964349
EX_val__L_e_r	9469782014.0	1.0	9469782014.0	0.0	0.22129418017412875	0.22588541973388582	0.06041012472309879	0.10923279499451789	0.1121972002104148	0.027929139694657965
EX_spmd_e	1357267396.0	0.0	1357267396.0	1.0	0.002522183252897999	0.00219328526458015	0.001813539314905367	0.01184770429577046	0.01031727667990595	0.008975525507470675
EX_sprm_e	155617113.0	0.0	155617113.0	1.0	0.0020373434520968986	0.0020213429310698	0.0012703753851461296	0.029895461514298307	0.029327225198196548	0.015593271563448207
EX_5mthf_e	10834500.0	0.0	10834500.0	1.0	0.00015542819204349684	0.0001591666473858	4.7517077259387506e-05	0.0009444504933144696	0.00099457658084875	0.00024106041270682856
EX_tmlys_e_r	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.75529359102725	2.7880516313988184	1.4618157989643648
EX_thbpt_e_r	7960113933.0	1.0	7960113933.0	0.0	4.096957599174412e-05	4.0862616394451535e-05	2.1446024911021892e-05	1.896628839165734e-05	1.8330118370868848e-05	1.2186284981807292e-05
EX_CE2705_e	7960113933.0	1.0	7960113933.0	0.0	4.096957599174412e-05	4.0862616394451535e-05	2.1446024911021892e-05	1.896628839165734e-05	1.8330118370868848e-05	1.2186284981807292e-05
EX_crtn_e	8190092266.0	1.0	8190092266.0	0.0	0.07028543387810564	0.06299119274564585	0.040706717853438316	0.029546587497729135	0.0276568784731432	0.01767295102669146
EX_his__L_e_r	6910922119.0	1.0	6910922119.0	0.0	0.14116385273362755	0.15223540112927486	0.04703707251592918	0.10327227019618684	0.10527067341991109	0.05765728637010282
EX_lys__L_e_r	1929573951.0	0.0	1929573951.0	1.0	0.003937229032489422	0.0040643813336565	0.002073948649847427	0.008085872717824141	0.008769012981254851	0.003897545278141197
EX_carn_e_r	386142604.0	0.0	386142604.0	1.0	5.158024791653615	4.923157058641645	1.3805574027012377	8.127080645058847	8.127595858375763	0.5203047975794255
