	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	7644253642.0	1.0	7644253642.0	0.0	5.265104212048324	5.377659621139366	0.9667690393138779	4.541234818516102	4.634529840555153	0.3719989308619543
EX_glc__D_e_r	7608284509.0	1.0	7608284509.0	0.0	3.107150804159708	3.1732452741702812	0.5709337200725404	2.6874685867367383	2.7402545870722275	0.2213261564902725
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.02497203598108509	0.02570117337044695	0.010523944487867205	0.0	0.0	0.0
EX_gluOUT__L_e	9321432.0	0.0	9321432.0	1.0	0.04228818442473405	0.04281908146142005	0.007674078874522459	0.07486133093378389	0.07638762170478405	0.006126334189084196
EX_gln__L_e_r	10989783.0	0.0	10989783.0	1.0	0.6837333598038297	0.6976066650931629	0.1251259316312114	1.1808153926646543	1.2047054457606015	0.09635224520762518
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.022818548488402042	0.0233481078670806	0.012615765136517179	0.0	0.0	0.0
DM_asp__L_e	8773185478.0	1.0	8773185478.0	0.0	1.9953725080852756	1.619923938157637	1.5755451200856483	0.3515892856084157	0.26526909255641606	0.31453882809105654
EX_co2_e	10000000000.0	1.0	10000000000.0	0.0	138.09016546725712	136.74401134972902	17.808827228896558	35.197603773580646	35.39402800950303	2.3769077426832306
EX_h_e_f	8727368272.0	1.0	8727368272.0	0.0	367.58051641196846	374.5280693414263	56.50400263937556	204.0814691960292	195.04917478085576	119.55979037113168
EX_h2o_e_f	7429474500.0	1.0	7429474500.0	0.0	127.3748852094631	131.53439691643746	32.502855936570334	89.21614081082453	87.55711988459478	46.41187701417132
EX_ump_e_r	2131928285.0	0.0	2131928285.0	1.0	1.1594773376399643e-05	1.1811581089902104e-05	5.6357722548184835e-06	2.2517057369628045e-05	2.266346135033278e-05	1.1251529654295232e-05
EX_pi_e_r	143101460.0	0.0	143101460.0	1.0	0.0001958962420397277	0.00019908318731995	2.303268368420454e-05	0.000394672971422463	0.0004096714229618	6.93060431271504e-05
EX_nh4_e	10000000000.0	1.0	10000000000.0	0.0	96.48722688955725	92.30422045067348	22.97158581259171	13.609493968952979	13.307176976045959	2.540549015224287
EX_o2_e_r	10000000000.0	1.0	10000000000.0	0.0	102.11075620118723	101.92271325298992	11.49279740733561	19.47971282862884	19.558089867384993	1.3934709492040793
EX_arg__L_e_r	1036596218.0	0.0	1036596218.0	1.0	0.09499044376054445	0.09858510321327975	0.02038701422040779	0.17732316173664833	0.18086494071471615	0.05705510214941564
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	4.233429542688444e-05	4.187340498883187e-05	1.8893515662404423e-05	0.0	0.0	0.0
EX_leu__L_e_r	155822208.0	0.0	155822208.0	1.0	0.00013664898157482637	0.00013873093138005	1.6478741612037365e-05	0.0002789941735290145	0.00029035210758335	5.116229479526043e-05
EX_ile__L_e_r	139126122.0	0.0	139126122.0	1.0	6.317622899581201e-05	6.432842810575169e-05	7.226944036733705e-06	0.0001279126160360458	0.00013293397418785	2.250459807492967e-05
EX_met__L_e_r	827565515.0	0.0	827565515.0	1.0	0.002654223207415797	0.0027405582910363	0.0012497945610918362	0.016237590021125205	0.01612917159648825	0.009444998969180942
EX_gly_e_r	4816281029.0	2.9512134704580344e-46	4816281029.0	1.0	0.11130738278521174	0.10799695705616785	0.06439215348643705	0.11477671075219886	0.1173230717171139	0.06383614034024891
EX_phe__L_e_r	599179732.0	0.0	599179732.0	1.0	9.399529777408073e-05	9.566107715881398e-05	1.0684425072408768e-05	0.00015936494077117353	0.0001650239222685	3.656645864117634e-05
EX_ser__L_e_r	4547485048.0	1.845123741912268e-269	4547485048.0	1.0	0.14047067370454777	0.1430416661815696	0.05871793229662462	0.1490702481943998	0.15684311893724875	0.06553663212653311
EX_ala__L_e_f	8880319664.0	1.0	8880319664.0	0.0	2.21504807607346	1.673783883272887	1.9176786723170334	0.32339861679651416	0.23253576910119683	0.3087122586761328
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	10000000000.0	1.0	10000000000.0	0.0	0.03765709372618702	0.03822076604524695	0.005969399304477009	0.0	0.0	0.0
EX_fol_e_r	5801903329.0	1.0	5801903329.0	0.0	0.00017344734868958425	0.0001829182217623	5.067650091320676e-05	0.0001629694624233766	0.00016835931750835	4.336487927876365e-05
EX_urea_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.06068388640826904	0.05071209129279085	0.04665054526861876
EX_pyr_e	10000000000.0	1.0	10000000000.0	0.0	0.28475617256961183	0.29414470023244293	0.12371341890539024	0.0	0.0	0.0
PYRt2	10000000000.0	1.0	10000000000.0	0.0	0.28475617256961183	0.29414470023244293	0.12371341890539024	0.0	0.0	0.0
EX_gudac_e	4507351048.0	0.0	4507351048.0	1.0	0.044561551408156645	0.0419066835465019	0.028079553730687073	0.05671841611032898	0.0461488665073159	0.045187856597804256
EX_hdca_e_f	5310578859.0	1.0	5310578859.0	3.502791840696095e-128	2.054981892350181	2.030239850054781	0.852773933216207	1.9655649819448375	1.9654148833758558	0.16844296589236965
EX_ptrcIN_e	10000000000.0	1.0	10000000000.0	0.0	0.0003984479479131229	0.00040131366293505	4.8858993572849726e-05	0.0	0.0	0.0
EX_ptrcOUT_e	625295576.0	0.0	625295576.0	1.0	0.04134726731225131	0.037389088803847545	0.027943435037768107	0.14597245737564565	0.1506695391778597	0.058829570113394104
EX_biomassx	139126122.0	0.0	139126122.0	1.0	0.0002208356776676284	0.0002248632474561	2.5262145417452693e-05	0.0004471249660444988	0.00046467737535895	7.86659515060359e-05
EX_gthox_e	7365220633.0	1.0	7365220633.0	0.0	0.7343977459087255	0.6819617027247995	0.46073735068256416	0.3762446217821825	0.3859324801967987	0.1457847117821433
EX_2obut_e	20779405.0	0.0	20779405.0	1.0	0.015345176328569602	0.01548644814329415	0.0020139838362802673	0.28405162814383467	0.2911992282526322	0.13387506085151296
EX_crn_e	10000000000.0	1.0	10000000000.0	0.0	18.00799050792677	18.331676632940997	2.5439995766212316	-6.441060801990023e-17	-7.359060164033276e-17	1.9410701674997763e-16
EX_val__L_e_r	4086482.0	0.0	4086482.0	1.0	0.019563667211227345	0.020087200924849	0.005877233483702589	0.2008509667965022	0.20326821880781143	0.06882390528045013
EX_spmd_e	2415693701.0	0.0	2415693701.0	1.0	0.0012317615037125231	0.0010855477129438	0.0008466253883969957	0.003316767325601945	0.0029608943128672	0.0023999142123002624
EX_sprm_e	4749413819.0	3.1594889163597934e-84	4749413819.0	1.0	0.0017362024510485415	0.0017801283830290002	0.0008911268857439851	0.0019063410153196366	0.0017937947406598499	0.0012331437728627804
EX_5mthf_e	5801905120.0	1.0	5801905120.0	0.0	0.00017344735083587196	0.0001829182197266	5.067649889683686e-05	0.00016296943583595026	0.0001683591691935	4.3364871275368435e-05
EX_tmlys_e_r	10000000000.0	1.0	10000000000.0	0.0	18.007990507926696	18.33167663294075	2.543999576621271	0.0	0.0	0.0
EX_thbpt_e_r	3804568432.0	0.0	3804568432.0	1.0	3.669594783233417e-05	3.7322487389428885e-05	4.190245467817142e-06	4.33512143315078e-05	4.571948174483024e-05	2.1532948079712746e-05
EX_CE2705_e	3804568432.0	0.0	3804568432.0	1.0	3.669594783233417e-05	3.7322487389428885e-05	4.190245467817142e-06	4.33512143315078e-05	4.571948174483024e-05	2.1532948079712746e-05
EX_crtn_e	4302399143.0	0.0	4302399143.0	1.0	0.050349554930194544	0.04801810317051935	0.026656520814622556	0.05976022510248433	0.053534238279518045	0.03367984634490165
EX_his__L_e_r	2126940143.0	0.0	2126940143.0	1.0	0.09562532709002722	0.10015344295957204	0.0352643886895775	0.140903685235183	0.1477748311510628	0.04282239781106276
EX_lys__L_e_r	7095080014.0	1.0	7095080014.0	0.0	0.008831876858595416	0.0083737465407401	0.005641495780902212	0.004577759144112509	0.004825625018886051	0.0019449073960132964
EX_carn_e_r	10000000000.0	1.0	10000000000.0	0.0	23.221008617937592	23.161649423467416	3.178850651494854	5.106391954028667	4.980733248254177	1.4132119081427357
EX_csn_e_r	9390345053.0	1.0	9390345053.0	0.0	14.020254742581058	11.635046917164933	10.666517198044874	1.2739352890401678	0.9752902326702049	1.1299131132660138
EX_cys__L_e	10000000000.0	1.0	10000000000.0	0.0	0.04135456988672335	0.042823554935479596	0.007542322996302883	0.0	0.0	0.0
EX_cyan_e_r	712641576.0	0.0	712641576.0	1.0	0.09779902361436028	0.09746785416764595	0.03940076770270753	0.21874178606676012	0.21840934581049515	0.07078075088360399
EX_tcyntc	2103335325.0	0.0	2103335325.0	1.0	0.03880883099864819	0.03253168083282985	0.029896954361204844	0.11061861798951088	0.1038527417687504	0.07491676779379432
EX_tcynt_e	2830245752.0	0.0	2830245752.0	1.0	0.05899019261570788	0.0542064503212287	0.03824042803935581	0.10812316807725103	0.09846244567573026	0.070029930501321
EX_so3_e	1528970883.0	0.0	1528970883.0	1.0	0.03585901938074093	0.037348999395371854	0.009567410602857202	0.06855532441063389	0.07189728376835411	0.027029404580789788
EX_thr__L_e_r	114604504.0	0.0	114604504.0	1.0	0.012810011913359369	0.0129013833995304	0.0015650444005214383	0.2680573356219777	0.277576237737334	0.13205374731814865
EX_trp__L_e_r	9122198816.0	1.0	9122198816.0	0.0	0.03330488862998441	0.0345825678902832	0.007522567336614687	0.016388813899399758	0.015744321381284	0.009576058022532316
EX_anth_e	9079006464.0	1.0	9079006464.0	0.0	0.03296887329409316	0.0342627517358305	0.007534552512109322	0.016382864486505024	0.015738120375643053	0.009575779041146376
EX_tyr__L_e_r	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.8297321832007293e-05	2.540272915562329e-05	1.8404183853391833e-05
EX_cystinex_r	1954.0	0.0	1954.0	1.0	0.08372810318134821	0.08553772602550375	0.011480188889910904	0.17740574182939356	0.1822630466360442	0.019132979935827153
EX_3hydroxybutanoatex_r	2989418414.0	0.0	2989418414.0	1.0	9.400600496254128	9.199394091724225	4.462314385254464	11.745561060626873	11.93785224990749	0.6650123906938323
EX_gthrd_e_r	7338738598.0	1.0	7338738598.0	0.0	1.4253141783362586	1.3217974209208245	0.9197492427057279	0.7172383841028693	0.7345285701990415	0.29397614874072553
EX_cmp_e_r	1230214696.0	0.0	1230214696.0	1.0	4.228122250921214e-06	3.879584696359585e-06	2.7849983511098653e-06	1.1476245141236024e-05	1.1045105569721161e-05	5.53605860801979e-06
HEX1	8771598846.0	1.0	8771598846.0	0.0	17.251520401134506	13.667299813168114	13.180057057738185	5.341874027174906	4.671684845104283	2.439720135076144
