	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	8515980100.0	1.0	8515980100.0	0.0	5.14025610237344	5.255397011038198	0.9923025069371857	3.7914997384803217	3.85128663882094	0.776438125896646
EX_glc__D_e_r	8198252065.0	1.0	8198252065.0	0.0	3.03448553960274	3.10224941307761	0.5857629831958997	2.3322546071232106	2.367693273738909	0.4763557981992848
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.016420745038678016	0.0149068726245378	0.011311193323035427	0.0	0.0	0.0
EX_gluOUT__L_e	113853581.0	0.0	113853581.0	1.0	0.040130516354939874	0.0413520510991265	0.009021569138564167	0.13289519250822887	0.13434054542673113	0.04003777092149134
EX_gln__L_e_r	9803392558.0	1.0	9803392558.0	0.0	0.6658538135400409	0.6789158404400457	0.12706055657174817	0.3481799502584596	0.35287323310175556	0.06978106142815199
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.026509692960172675	0.02641756647665285	0.012974250636812784	0.0	0.0	0.0
DM_asp__L_e	7793055179.0	1.0	7793055179.0	0.0	1.7664457369090556	1.4199932733214373	1.4437115807282934	0.5911753332262182	0.44621575822257853	0.5142465392881256
EX_co2_e	9999107036.0	1.0	9999107036.0	0.0	136.01064571861835	133.20694482562163	16.99839653106383	64.54434020791565	64.02064543432769	8.153385783025836
EX_h_e_f	5031813834.0	0.9931356140636672	5031813834.0	0.006864387419932588	287.91542338598447	317.13112875951816	124.80797741251567	299.5936947943895	308.8589560060226	90.37901033752297
EX_h2o_e_f	2741102336.0	0.0	2741102336.0	1.0	94.50072666895524	93.67916996934886	41.21291697382388	127.84082206199928	129.78349624408008	35.20617591448814
EX_ump_e_r	5512806900.0	1.0	5512806900.0	0.0	1.1317633568403853e-05	1.102433970871943e-05	6.30116350048865e-06	1.0007691802141759e-05	1.01166881660878e-05	4.890468569428171e-06
EX_pi_e_r	6954679137.0	1.0	6954679137.0	0.0	0.0002093825468731126	0.0002127280985374	1.732947855575985e-05	0.00019364293113817047	0.00019825722767135	2.4478074541446124e-05
EX_nh4_e	9976715275.0	1.0	9976715275.0	0.0	92.82675262704028	88.22492016831025	20.595481296902474	36.36549844658126	33.93353249472639	10.281753486622408
EX_o2_e_r	9998892928.0	1.0	9998892928.0	0.0	103.45691287074061	103.04691252923402	10.843632047032152	50.9699872066266	50.92949673040864	6.010404385560543
EX_arg__L_e_r	8224079871.0	1.0	8224079871.0	0.0	0.09697017341002698	0.1004071739985067	0.019209085900917435	0.07682567956361608	0.078160362462926	0.005058191000602617
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	5.3838380545285715e-05	5.438317743435556e-05	2.0760693591415595e-05	0.0	0.0	0.0
