	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	median_MCF7	std_MCF7	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	8203179458.0	1.0	8203179458.0	0.0	4.539708704455866	4.631657442741654	0.378963346288477	3.788920888820088	3.7671283620738256	0.6836962008464728
EX_glc__D_e_r	7578941266.0	1.0	7578941266.0	0.0	2.684231320265386	2.73904521727507	0.22663195831774902	2.330272640957718	2.3169486711263687	0.42049681807149386
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	807971896.0	0.0	807971896.0	1.0	0.07473821253286915	0.07622029169548225	0.00627524902124839	0.13497210373161214	0.1357435411440724	0.04097820606882308
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	1.1779504806420045	1.2013828959831208	0.09847439200294923	0.34703493226678256	0.34516446056305783	0.06222152226685703
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	3789637387.0	0.0	3789637387.0	1.0	0.31821432169409947	0.24098267461110917	0.277796036418002	0.47655766072878936	0.3828071747238657	0.3858689549843159
EX_co2_e	948.0	0.0	948.0	1.0	35.389866341542195	35.40924891265101	2.187202715454115	65.60176543077223	64.94801166369368	7.861077133983763
EX_h_e_f	4613544796.0	3.4888201944619405e-197	4613544796.0	1.0	232.22374323134522	236.1886878361342	124.19345937906238	249.15690120258472	252.87228673368838	112.92115797520039
EX_h2o_e_f	3097724012.0	0.0	3097724012.0	1.0	74.86539670153672	60.672527470714584	54.594925454964695	109.55731751285087	114.04556594988384	45.90491223124119
EX_ump_e_r	7705024747.0	1.0	7705024747.0	0.0	2.0176973782014982e-05	1.9189703036829404e-05	1.1910523109453003e-05	9.766532436420382e-06	9.43316890575215e-06	5.396301761224322e-06
EX_pi_e_r	9915715144.0	1.0	9915715144.0	0.0	0.00039110930702771954	0.00039958643086125	6.800591027916053e-05	0.00019634694563547394	0.00020226827847205	2.5170974513982275e-05
EX_nh4_e	3128073.0	0.0	3128073.0	1.0	13.672626865181446	13.303740560634429	2.419405186268729	36.58574557037012	33.93743156586602	10.372314817308647
EX_o2_e_r	0.0	0.0	0.0	1.0	19.583338324673903	19.652546618646372	1.3802260421543178	52.61576871914505	52.85811181160791	6.164461977005269
EX_arg__L_e_r	9712568034.0	1.0	9712568034.0	0.0	0.19368365133075358	0.20134059421305422	0.052783386830920265	0.07599592105894645	0.07698743921957266	0.005336878391395177
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	9899084825.0	1.0	9899084825.0	0.0	0.0002717071880978193	0.0002767262400581	4.7945984061476094e-05	0.00013846022451896313	0.00014280288366240001	1.838869423557257e-05
EX_ile__L_e_r	9922522390.0	1.0	9922522390.0	0.0	0.0001256528049091574	0.0001282547947653	2.1400529325136808e-05	6.349976860378864e-05	6.565389527720254e-05	7.68807448731331e-06
