	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	6934476343.0	1.0	6934476343.0	0.0	5.077587464042632	5.233432892450756	1.0604026888761195	4.5391298559766815	4.638763745728364	0.3823788538084822
EX_glc__D_e_r	6933986132.0	1.0	6933986132.0	0.0	2.9973590657416067	3.0892947702284514	0.6266563763168664	2.6794147726946673	2.736523831060426	0.22646566505367355
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.02174029213278754	0.021743496007902048	0.010912895811772724	0.0	0.0	0.0
EX_gluOUT__L_e	7396788.0	0.0	7396788.0	1.0	0.041064255194891146	0.042269383840819796	0.008932005602592627	0.07481029989238985	0.0764392360694365	0.0062742863799719
EX_gln__L_e_r	7534069.0	0.0	7534069.0	1.0	0.6615491777407625	0.681017461193252	0.13864077530205113	1.1806476345010524	1.2062820338958624	0.09913506929091824
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.020534411663622614	0.01924341624505655	0.012505624460419678	0.0	0.0	0.0
DM_asp__L_e	8889409970.0	1.0	8889409970.0	0.0	1.7626169759075276	1.4578016652278754	1.3779510449492762	0.29510701829050834	0.22059294047959876	0.2777241793148263
EX_co2_e	10000000000.0	1.0	10000000000.0	0.0	138.81536357090275	138.09520964396626	15.913294238689026	35.14639340380092	35.3194799451473	2.417203909534654
EX_h_e_f	8658294798.0	1.0	8658294798.0	0.0	357.1625510226225	364.8984086567258	62.83464129335236	190.58572190216861	176.54055911426792	122.18808308549036
EX_h2o_e_f	6730846191.0	1.0	6730846191.0	0.0	111.83451111223005	117.00240337096213	41.89858385058386	85.02819963981577	80.399279799287	47.1131635504865
EX_ump_e_r	3298062722.0	0.0	3298062722.0	1.0	1.1073844900733419e-05	1.1011104702633657e-05	5.851191150851705e-06	1.70622802786799e-05	1.5941464753562212e-05	1.0319691353512927e-05
EX_pi_e_r	205118540.0	0.0	205118540.0	1.0	0.00020485463956440025	0.00020856479378415001	1.9182211959320206e-05	0.00039306332655248896	0.0004070773037625	7.415849600571483e-05
EX_nh4_e	10000000000.0	1.0	10000000000.0	0.0	96.68583002966253	92.7948051183627	20.78921772837777	13.147512055445468	12.994421977426786	2.672983567130972
EX_o2_e_r	10000000000.0	1.0	10000000000.0	0.0	104.40581008619559	104.17584405582959	10.867758428054326	19.599185172132504	19.629229750520523	1.3518706103854485
EX_arg__L_e_r	371462375.0	0.0	371462375.0	1.0	0.08735578169276889	0.0909803284540515	0.023655106981054073	0.20279736670908438	0.21388958755792098	0.04997798406924128
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	4.823303993868146e-05	4.779740707093213e-05	2.1187274488556185e-05	0.0	0.0	0.0
