	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB361	median_MDAMB361	std_MDAMB361	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	0.0	0.0	0.0	1.0	0.07194499595740918	0.07431158549906465	0.008523158695708893	3.6611888545264892	3.6624250855998732	0.8093653878324611
EX_glc__D_e_r	0.0	0.0	0.0	1.0	0.10266818571879112	0.10449486872452775	0.01358419094318164	2.2512434548699622	2.2523655557753433	0.49891682759767497
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.0028953859653412543	0.0023587504304906	0.0022539491346701313	0.0	0.0	0.0
EX_gluOUT__L_e	0.0	0.0	0.0	1.0	0.011194836632054837	0.0114491761644773	0.0014735127638108127	0.14214435801245695	0.1427650634790639	0.03891093388140167
EX_gln__L_e_r	454027515.0	0.0	454027515.0	1.0	0.2050645686088219	0.2116389353291411	0.024557867106891573	0.33539262531905345	0.33522019695666627	0.07416901561509344
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.028742375965964774	0.02916346488274665	0.012154461260915461	0.0	0.0	0.0
DM_asp__L_e	7307039268.0	1.0	7307039268.0	0.0	1.1877821619531603	0.93067592558196	1.0091114786234354	0.4906436676293348	0.38516270827465315	0.42416681406469525
EX_co2_e	9744335109.0	1.0	9744335109.0	0.0	105.4152203303206	102.13997260355411	22.54959720141592	65.87550567516924	64.85945241538579	8.664595178334796
EX_h_e_f	5081662819.0	0.9999999998738412	5081662819.0	1.2615881229501623e-10	283.0261738799668	296.6038064167893	80.95375653332782	282.9797081033714	281.2734007321364	91.37907730341905
EX_h2o_e_f	5815632852.0	1.0	5815632852.0	0.0	117.03470600737448	121.87453854107045	39.12884010464916	106.2355279093212	108.18520255956858	42.472985046818835
EX_ump_e_r	212986431.0	0.0	212986431.0	1.0	8.934867722542216e-07	8.891366898733385e-07	3.470397273347303e-07	1.1779870808809152e-05	1.1305262780573734e-05	6.3337258722668525e-06
EX_pi_e_r	0.0	0.0	0.0	1.0	1.2917265380252782e-05	1.2935075097743676e-05	2.6802580873806533e-06	0.00019528806751514753	0.00020016870714945	2.322793286684411e-05
EX_nh4_e	8861572615.0	1.0	8861572615.0	0.0	76.08205871939343	70.87991139100338	32.295091731679825	38.18693645036858	35.11816935559651	12.422195602500818
EX_o2_e_r	9216146783.0	1.0	9216146783.0	0.0	62.64428236188085	62.570536907419154	6.12070073191364	50.66948720519676	50.98205437981089	6.105330320873407
EX_arg__L_e_r	6208185106.0	1.0	6208185106.0	0.0	0.07876204124659039	0.08181842697997554	0.012038597626448612	0.07740267255224678	0.0788207951793686	0.0049436898064761335
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	4.884073226641591e-06	4.835843860710382e-06	1.3171183155565745e-06	0.0	0.0	0.0
EX_leu__L_e_r	0.0	0.0	0.0	1.0	8.409517081048237e-06	8.469115527951382e-06	1.7136123946283784e-06	0.0001358205934308119	0.0001383281193443	1.6592224849100866e-05
EX_ile__L_e_r	0.0	0.0	0.0	1.0	4.212457695337775e-06	4.226318298586693e-06	8.806041440227472e-07	6.343893470406847e-05	6.524480393803133e-05	7.302971006540802e-06
EX_met__L_e_r	7337818049.0	1.0	7337818049.0	0.0	0.0030478037592160437	0.0030217193742693	0.0015842255333094121	0.0018273461630648566	0.00195352422832965	0.0007877572860833736
EX_gly_e_r	4928910801.0	1.8298586616173907e-08	4928910801.0	0.9999999817014215	0.031189424242894524	0.031755832364002104	0.014561681863468815	0.03310604646284727	0.0316918642776595	0.021312601147012854
EX_phe__L_e_r	0.0	0.0	0.0	1.0	5.371294168865885e-06	5.3332628010279465e-06	1.374046297274096e-06	7.697351598901543e-05	7.674541546829296e-05	1.4566459506972493e-05
