	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	7621392940.0	1.0	7621392940.0	0.0	4.843224634818476	4.888838764647378	0.2058903470514934	4.5391298559766815	4.638763745728364	0.3823788538084822
EX_glc__D_e_r	5894614406.0	1.0	5894614406.0	0.0	2.768175571092176	2.7942633730416535	0.11766352138547323	2.6794147726946673	2.736523831060426	0.22646566505367355
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	10000000000.0	1.0	10000000000.0	0.0	0.13105468212063914	0.13085051228749367	0.009972792106298473	0.07481029989238985	0.0764392360694365	0.0062742863799719
EX_gln__L_e_r	348029.0	0.0	348029.0	1.0	0.6787319818894002	0.6810535074955448	0.03855271509784738	1.1806476345010524	1.2062820338958624	0.09913506929091824
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	2253773830.0	0.0	2253773830.0	1.0	0.09668322545236531	0.06551569084038461	0.09557452380229613	0.29510701829050834	0.22059294047959876	0.2777241793148263
EX_co2_e	2693500508.0	0.0	2693500508.0	1.0	29.69752054042723	29.348698367691014	8.671689015342023	35.14639340380092	35.3194799451473	2.417203909534654
EX_h_e_f	6490020152.0	1.0	6490020152.0	0.0	260.84025559227234	272.20021103039386	137.02050480632536	190.58572190216861	176.54055911426792	122.18808308549036
EX_h2o_e_f	5300550693.0	1.0	5300550693.0	3.493900094812982e-120	88.16590844038811	87.25922445612882	40.69148907194827	85.02819963981577	80.399279799287	47.1131635504865
EX_ump_e_r	1993128770.0	0.0	1993128770.0	1.0	7.198085798956152e-06	7.187030024972868e-06	3.8411010003573714e-06	1.70622802786799e-05	1.5941464753562212e-05	1.0319691353512927e-05
EX_pi_e_r	737676.0	0.0	737676.0	1.0	0.00013540936699692432	0.0001354738871778	5.094124490795301e-06	0.00039306332655248896	0.0004070773037625	7.415849600571483e-05
EX_nh4_e	9760304837.0	1.0	9760304837.0	0.0	36.30501570122681	35.80668831884449	11.285929596126142	13.147512055445468	12.994421977426786	2.672983567130972
EX_o2_e_r	0.0	0.0	0.0	1.0	2.270361128726163	2.1807513515008274	0.5511143718146017	19.599185172132504	19.629229750520523	1.3518706103854485
EX_arg__L_e_r	3190503501.0	0.0	3190503501.0	1.0	0.18179602129212843	0.18549300307900823	0.028298386228893666	0.20279736670908438	0.21388958755792098	0.04997798406924128
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	1820742.0	0.0	1820742.0	1.0	9.376036506972896e-05	9.383445350850345e-05	5.359054994262563e-06	0.0002748275491749949	0.00028461725820515	5.209005450976902e-05
EX_ile__L_e_r	97052.0	0.0	97052.0	1.0	4.36840832668478e-05	4.402531887956129e-05	1.1338499422006432e-06	0.00012616317380567725	0.00013067080251145	2.3327376155799182e-05
EX_met__L_e_r	0.0	0.0	0.0	1.0	2.336583374495865e-05	2.3548355015007974e-05	6.064760295336171e-07	0.01581723093649593	0.015315635069887	0.009855050887577987
EX_gly_e_r	4975158546.0	0.027164389724676948	4975158546.0	0.9728356151280076	0.12349052703021698	0.11848234134241314	0.07412527994162658	0.12215520056281669	0.1253368964341393	0.06292681366373007
EX_phe__L_e_r	6448751.0	0.0	6448751.0	1.0	5.054784737801519e-05	4.96774217594614e-05	7.08469122405148e-06	0.00015607834535745865	0.0001600503486417	3.3783809896043186e-05
EX_ser__L_e_r	4098258459.0	0.0	4098258459.0	1.0	0.1397056060178308	0.12781684231629653	0.08922199668250458	0.16118185647587674	0.17036479956160056	0.06830673364444181
EX_ala__L_e_f	3462570555.0	0.0	3462570555.0	1.0	0.17206513793573186	0.12375772405190585	0.16288089883971152	0.324230361928567	0.22980541705088692	0.30913771611943214
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	8838106259.0	1.0	8838106259.0	0.0	0.00027703183036596664	0.00029284390237775	7.834027712647908e-05	0.00016183263967566405	0.00016706021874505	4.40821234075615e-05
EX_urea_e	4907075674.0	3.058036130912837e-13	4907075674.0	0.9999999999996942	0.06118792450935478	0.048508180215799696	0.04828641460579499	0.06149012007320246	0.051465158614420844	0.046151105790098595
EX_pyr_e					0.0	0.0	0.0	0.0	0.0	0.0
PYRt2					0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	6478170476.0	1.0	6478170476.0	0.0	0.08164772230809107	0.07819254405104835	0.049181802561897525	0.05735563864397572	0.045145028242943946	0.04600492027943157
EX_hdca_e_f	58.0	0.0	58.0	1.0	0.3483438825541999	0.33403173996862656	0.09879837000488596	1.9916646369948587	1.9915581943751097	0.15208375575164834
EX_ptrcIN_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcOUT_e	1217816849.0	0.0	1217816849.0	1.0	0.08450048344038207	0.080005686654785	0.048618479158083726	0.17028395463440782	0.18108518403079044	0.05165504560173738
EX_biomassx	97052.0	0.0	97052.0	1.0	0.00015269990445555568	0.00015389271065775	3.963429352137661e-06	0.0004410097029680891	0.00045676634523255	8.154201356208967e-05
EX_gthox_e	84246794.0	0.0	84246794.0	1.0	0.021142170635053154	0.0198774780857846	0.011471229938633849	0.3204645336024409	0.3282395480827681	0.1556416106335784
EX_2obut_e	8191505257.0	1.0	8191505257.0	0.0	0.5067806878531878	0.5540428508016182	0.19921447462906627	0.2803193921040765	0.2954331154698123	0.11971782301315681
EX_crn_e	6897534999.0	1.0	6897534999.0	0.0	2.7215487914363275e-18	1.333729521012649e-18	1.3900365925560794e-17	-1.0182307671193257e-16	-9.761476945182505e-17	2.0008625007430727e-16
