Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_SKBR3	median_SKBR3	std_SKBR3	mean_MDAMB231	median_MDAMB231	std_MDAMB231
EX_lac__L_e	0.0	1.2809996731450625e-34	0.0	1.0	3.2482482999999998	4.352365	1.9448589993341472	7.357161500000001	7.39916	0.32339419176513395
EX_glc__D_e_r	3.0	1.4018684639945663e-34	3.0	1.0	1.9906289000000004	2.67177	1.2015619103541562	4.2054048	4.229455	0.18483810169809017
EX_gluIN__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	0.0	1.2804946538696245e-34	0.0	1.0	0.04695719999999999	0.046665	0.010105414298355816	0.1836987	0.184195	0.008183202634887907
EX_gln__L_e_r	0.0	1.2810718345817004e-34	0.0	1.0	0.2978649	0.39707000000000003	0.1677378396591695	0.9912315	0.99482	0.04376284726520402
EX_asp__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	8724.0	1.0	8724.0	4.6017036963325415e-20	1.3667045	1.441165	0.9658251253557418	0.1728362	0.165625	0.13804963223113462
EX_co2_e	10000.0	1.0	10000.0	1.2810718345817004e-34	104.9702545	107.58052	11.004558995486837	38.928267899999994	39.357405	5.074895662613441
EX_h_e_f	6323.0	0.9993892790385497	6323.0	0.0006159663135689643	427.8363939	448.778505	45.07044478361259	426.1606677	428.340185	25.790749700865046
EX_h2o_e_f	6860.0	0.9999972652747485	6860.0	2.7666313988164247e-06	488.45935340000005	513.13433	52.36811981747641	480.29983849999996	477.879035	28.002445969428138
EX_ump_e_r	5828.5	0.9786173853952018	5828.5	0.02150814646804562	0.0015376	0.00164	0.001277830484639785	0.0010678999999999999	0.001055	0.00019827180099728526
EX_pi_e_r	5876.5	0.9839382523040604	5876.5	0.016160132107037716	0.0183042	0.01933	0.01486110544034632	0.014645100000000001	0.014685	0.0030001890495989303
EX_nh4_e	10000.0	1.0	10000.0	1.2810718345817004e-34	80.789997	84.450275	14.076802283506806	43.778970099999995	45.366389999999996	5.9840739474005975
EX_o2_e_r	10000.0	1.0	10000.0	1.2810718345817004e-34	56.78990789999999	49.17652	15.23068943105303	4.7119726	4.64951	0.9000407343022163
EX_arg__L_e_r	0.0	1.279845628152626e-34	0.0	1.0	0.0738799	0.07230500000000001	0.006406235046003734	0.19205479999999997	0.19356	0.013708030417948228
EX_pro__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
