	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	median_MCF7	std_MCF7	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	8049516473.0	1.0	8049516473.0	0.0	4.550033102932577	4.647309009367764	0.379286160199842	3.7498449992281677	3.7650442286734633	0.7817650683902049
EX_glc__D_e_r	7397565132.0	1.0	7397565132.0	0.0	2.6844519311398995	2.738044740332546	0.22503236774227603	2.30788158877275	2.3157246849560167	0.480697755706221
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	181288583.0	0.0	181288583.0	1.0	0.0751385988714012	0.07672838881798369	0.006273933589337479	0.15190063192955416	0.1534297860322113	0.03316923573135912
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	1.1838733969517343	1.208797062419869	0.09815720942176727	0.3433895867662294	0.34402009863460103	0.07050461033331261
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	3623150409.0	0.0	3623150409.0	1.0	0.3246582045321664	0.2268340788196731	0.3247668770730559	0.5022547339259077	0.3983115243015465	0.4159299871217818
EX_co2_e	39955.0	0.0	39955.0	1.0	35.77187576451176	35.84749902688853	2.114670320632561	64.30134024037572	63.5082550399578	8.167231632172328
EX_h_e_f	1930896288.0	0.0	1930896288.0	1.0	199.26253186349442	195.67724015031456	108.52758472319306	322.9605981695733	330.59012341250855	89.62318176506876
EX_h2o_e_f	2450747762.0	0.0	2450747762.0	1.0	82.16021109963958	79.0725694033106	45.03709496147393	125.40019230847123	128.6099558013276	43.84887657791711
EX_ump_e_r	7685035466.0	1.0	7685035466.0	0.0	2.0820651430986387e-05	2.068410629959968e-05	1.0729272047846571e-05	1.1496772494998624e-05	1.1595417922737022e-05	5.778486095811612e-06
EX_pi_e_r	9982031362.0	1.0	9982031362.0	0.0	0.00039528648433722615	0.0004037477484513	6.376340482718942e-05	0.000193732059656366	0.00019822484849480002	2.4088860221521674e-05
EX_nh4_e	3786502.0	0.0	3786502.0	1.0	13.940802527355336	13.53711948498512	2.3140815203484055	36.87500508544915	33.97366067477118	11.035379855934176
EX_o2_e_r	90.0	0.0	90.0	1.0	19.69364998493895	19.75435856194877	1.3563046528261813	50.60902162054183	50.91451385952361	6.655180052871922
EX_arg__L_e_r	9462582874.0	1.0	9462582874.0	0.0	0.1838881574194375	0.19377104549889318	0.05783274146718433	0.0785186461504394	0.07945523500788304	0.0037420762460859606
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	9974275435.0	1.0	9974275435.0	0.0	0.00027543069942364905	0.0002807351823688	4.5047472468258924e-05	0.00013658704194976872	0.000139413663494	1.7340762612948468e-05
EX_ile__L_e_r	9985989198.0	1.0	9985989198.0	0.0	0.00012770776560346898	0.0001306402095702	2.025003437925793e-05	6.298300849946794e-05	6.457244819323733e-05	7.406534592560463e-06
EX_met__L_e_r	9297075957.0	1.0	9297075957.0	0.0	0.014862405317146615	0.01398513061459625	0.009666972608793156	0.0017656046000970051	0.00189388132853195	0.0008203260683029467
EX_gly_e_r	6775238530.0	1.0	6775238530.0	0.0	0.08748639115544683	0.07290995021586419	0.06385442334569033	0.04624973018146897	0.047038243747727346	0.02142867262432477
EX_phe__L_e_r	9958851608.0	1.0	9958851608.0	0.0	0.0001582847061327528	0.00015940301399485	3.046026106632437e-05	7.216697408000172e-05	7.092496219697834e-05	1.2709755382761443e-05
EX_ser__L_e_r	9482745886.0	1.0	9482745886.0	0.0	0.139539856859305	0.14281495142821093	0.06452176536269877	0.025502149840966593	0.0228490154739298	0.017840914400603775
EX_ala__L_e_f	3910678466.0	0.0	3910678466.0	1.0	0.35477032758966326	0.2524972818256287	0.3319967456871342	0.547137711324803	0.3940888745805574	0.5122106778250562
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	44903898.0	0.0	44903898.0	1.0	0.00016669009606655596	0.00017103625322134998	4.021794916423184e-05	0.0008988417588616251	0.00095232892578895	0.00026819662056028887
EX_urea_e	7591992365.0	1.0	7591992365.0	0.0	0.06467422311189944	0.0535418270360424	0.04883878274717599	0.02382817662825623	0.02065505443700175	0.017031711196965244
EX_pyr_e					0.0	0.0	0.0	0.0	0.0	0.0
PYRt2					0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	7692766475.0	1.0	7692766475.0	0.0	0.06188954924616679	0.0529074760233682	0.04567572690691097	0.02259625293771976	0.02008442419271985	0.016215149315405845
EX_hdca_e_f	9999999653.0	1.0	9999999653.0	0.0	2.0018064561303803	2.0024337380892345	0.16416069996608693	0.14279340937953358	0.10716978136514105	0.1278296786139059
EX_ptrcIN_e					0.0	0.0	0.0	0.0	0.0	0.0
