	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000000000.0	1.0	10000000000.0	0.0	4.8483189842854415	4.894466604101872	0.20104935316229713	0.07157942979018402	0.07370003668599945	0.008291969519457877
EX_glc__D_e_r	10000000000.0	1.0	10000000000.0	0.0	2.7712561678742604	2.79764026405337	0.11490915334797011	0.10295864357269109	0.10488396878681905	0.013688361328207384
EX_gluIN__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.002795962796017367	0.0023015788873627504	0.0021352111120873925
EX_gluOUT__L_e	10000000000.0	1.0	10000000000.0	0.0	0.12986805353934625	0.12956698137885714	0.009856401815727053	0.010960326951400153	0.011130710112714451	0.0014588742380209486
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.6765254575804852	0.6775288395805992	0.03836125306629968	0.20307513711806705	0.20866198438585096	0.024226981606613816
EX_asp__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.028038637179587423	0.02946140180942325	0.012352374855856937
DM_asp__L_e	618741818.0	0.0	618741818.0	1.0	0.09176714288576199	0.06575365432802255	0.08765583152920763	1.258533391887429	0.9434573772528415	1.1486785969022193
EX_co2_e	85782.0	0.0	85782.0	1.0	29.937196967780242	30.278191860849233	9.798965067355724	103.58350544757221	100.45235528524456	21.750729032970728
EX_h_e_f	2747015907.0	0.0	2747015907.0	1.0	182.86360632213496	176.59231401143845	103.05191643845033	258.6720898788673	264.0452644552504	85.46014298706403
EX_h2o_e_f	4744127627.0	1.0057419574561816e-87	4744127627.0	1.0	98.13582667421271	96.57568954932118	50.677720919600745	101.90291561383083	105.69171172936035	46.4619728675802
EX_ump_e_r	9620561549.0	1.0	9620561549.0	0.0	7.022307823625043e-06	7.182971971203125e-06	3.5197948338840936e-06	8.066014177034462e-07	7.861022778437002e-07	3.956980756180701e-07
EX_pi_e_r	10000000000.0	1.0	10000000000.0	0.0	0.00013530499326563	0.00013548907514684998	5.233983421206345e-06	1.3148347473822065e-05	1.3360119089186428e-05	2.8224643426074837e-06
EX_nh4_e	1135851383.0	0.0	1135851383.0	1.0	36.52480240702935	36.92216400993263	12.613388837184633	74.44298386936472	69.82941200746771	30.741284004734908
EX_o2_e_r	0.0	0.0	0.0	1.0	2.295775081258746	2.211797456954569	0.5450895338939868	62.26861244355173	62.455576584487545	6.44634545210007
EX_arg__L_e_r	9983509961.0	1.0	9983509961.0	0.0	0.18213401412306962	0.18817408180444362	0.033734078412158086	0.07914077943997551	0.08212668956230801	0.011776525248784414
EX_pro__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.741336509514534e-06	4.748096255853083e-06	1.400029892024331e-06
EX_leu__L_e_r	10000000000.0	1.0	10000000000.0	0.0	9.384409668226567e-05	9.413283295463804e-05	5.394637822184107e-06	8.480024546191995e-06	8.62273268792475e-06	1.7863038723046316e-06
