	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	8782786287.0	1.0	8782786287.0	0.0	4.855381716051259	4.903221445536882	0.2007159942234389	3.917881394273117	3.9931716962565496	0.775868926923093
EX_glc__D_e_r	7379009221.0	1.0	7379009221.0	0.0	2.7753162248652155	2.802730212629867	0.11469669048776085	2.40971859132845	2.4564390481123546	0.47849985795565136
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	3269588576.0	0.0	3269588576.0	1.0	0.1310568504210111	0.13109128373437512	0.009177616587058924	0.15011190285601841	0.14914053038043457	0.03852348561772429
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.6800770700795773	0.681919760603072	0.03623740708270966	0.3590834470514693	0.36718716902278037	0.07094303051624366
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	1333581594.0	0.0	1333581594.0	1.0	0.09585728394054892	0.0706242946511054	0.0910656232191206	0.5100190362932484	0.39711581967294707	0.4177832402950474
EX_co2_e	13234619.0	0.0	13234619.0	1.0	31.328887837682245	31.163670875264984	9.283000721283202	65.2899076667813	64.6385967836332	7.97412432161742
EX_h_e_f	3936130984.0	0.0	3936130984.0	1.0	265.6222768813255	299.5918850199671	131.49986392365398	318.26486045662915	330.9943240626112	95.9217787504407
EX_h2o_e_f	5364405743.0	1.0	5364405743.0	1.376150889640491e-175	116.93102815048978	120.02906651296693	47.25136967496482	111.05585412962292	115.8906677498544	44.390453099984214
EX_ump_e_r	3444292625.0	0.0	3444292625.0	1.0	6.804385974872109e-06	6.811115689325791e-06	3.856461116573281e-06	1.0010977767837067e-05	9.55167673555895e-06	5.992536173180444e-06
EX_pi_e_r	293614507.0	0.0	293614507.0	1.0	0.00013556601746004916	0.0001355976478963	5.3210648189524435e-06	0.0001924799238952479	0.00019740740028725	2.5160269000018295e-05
EX_nh4_e	5547232441.0	1.0	5547232441.0	0.0	38.29172553602829	38.15635236168329	12.135400076923698	36.963063726746505	34.267185581894594	10.803923077550557
EX_o2_e_r	0.0	0.0	0.0	1.0	2.246771631456847	2.146962688329693	0.5883943767927102	51.67083902371785	52.036130870521376	6.426614727143263
