	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	7665287584.0	1.0	7665287584.0	0.0	4.849040869691317	4.894407199464072	0.20446512656312715	4.550033102932577	4.647309009367764	0.379286160199842
EX_glc__D_e_r	5920612289.0	1.0	5920612289.0	0.0	2.7716085881134513	2.7974778329574557	0.11684238624051443	2.6844519311398995	2.738044740332546	0.22503236774227603
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	10000000000.0	1.0	10000000000.0	0.0	0.13240445274774854	0.1327271090909769	0.00980225639786709	0.0751385988714012	0.07672838881798369	0.006273933589337479
EX_gln__L_e_r	441562.0	0.0	441562.0	1.0	0.6812584211813063	0.684083531472373	0.0378890275555196	1.1838733969517343	1.208797062419869	0.09815720942176727
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	2150258730.0	0.0	2150258730.0	1.0	0.08799274103214484	0.0604029090310608	0.0884971775255376	0.3246582045321664	0.2268340788196731	0.3247668770730559
EX_co2_e	2004563399.0	0.0	2004563399.0	1.0	28.6936738766798	28.48135608799488	8.6974877163257	35.77187576451176	35.84749902688853	2.114670320632561
EX_h_e_f	5148110912.0	1.0	5148110912.0	9.057405067460323e-31	205.70040376203718	202.32509450491887	112.32342365582076	199.26253186349442	195.67724015031456	108.52758472319306
EX_h2o_e_f	5727421131.0	1.0	5727421131.0	0.0	92.13449134539742	92.49900554149994	40.58251383831706	82.16021109963958	79.0725694033106	45.03709496147393
EX_ump_e_r	1394176834.0	0.0	1394176834.0	1.0	7.969525793220796e-06	8.147721194865551e-06	3.1148161703412016e-06	2.0820651430986387e-05	2.068410629959968e-05	1.0729272047846571e-05
EX_pi_e_r	134203.0	0.0	134203.0	1.0	0.00013446335958002044	0.00013465366890815	4.810766860925424e-06	0.00039528648433722615	0.0004037477484513	6.376340482718942e-05
EX_nh4_e	9761646936.0	1.0	9761646936.0	0.0	35.074234965713906	34.85162563944773	11.280802557924398	13.940802527355336	13.53711948498512	2.3140815203484055
EX_o2_e_r	0.0	0.0	0.0	1.0	2.159829837415031	2.084834313734803	0.5109483314884482	19.69364998493895	19.75435856194877	1.3563046528261813
EX_arg__L_e_r	4969136192.0	0.008408274837647651	4969136192.0	0.9915917269361214	0.19028622214078827	0.19745691876193944	0.030692539929155906	0.1838881574194375	0.19377104549889318	0.05783274146718433
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	1156585.0	0.0	1156585.0	1.0	9.471433316781025e-05	9.520795353424908e-05	5.249728898242413e-06	0.00027543069942364905	0.0002807351823688	4.5047472468258924e-05
EX_ile__L_e_r	0.0	0.0	0.0	1.0	4.367331951411451e-05	4.40268519683484e-05	1.1405257257305796e-06	0.00012770776560346898	0.0001306402095702	2.025003437925793e-05
