	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	6947945643.0	1.0	6947945643.0	0.0	5.02761825559333	5.074465267877207	0.9348514700037185	4.506310377775105	4.614950832424851	0.41862645345913974
EX_glc__D_e_r	6942909525.0	1.0	6942909525.0	0.0	2.968424826636258	2.9960759187674615	0.552045663140091	2.661461111034455	2.724597209431995	0.247656117810931
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.020233065712191335	0.0202152434057748	0.009672394425753935	0.0	0.0	0.0
EX_gluOUT__L_e	14831214.0	0.0	14831214.0	1.0	0.038904842621883456	0.0387503805372723	0.00810058153430242	0.07423712081334054	0.07604198439969345	0.0069234094360737354
EX_gln__L_e_r	18279041.0	0.0	18279041.0	1.0	0.6501871782078859	0.6551418043935442	0.12370101417038722	1.1704676068143434	1.1987172518941747	0.10861108837672617
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.022598851015255654	0.02090498051308935	0.013404858006743833	0.0	0.0	0.0
DM_asp__L_e	9129423684.0	1.0	9129423684.0	0.0	2.1052228172864336	1.6830740025904674	1.7481585051549924	0.2574234898729381	0.18650488544537905	0.24043623624855365
EX_co2_e	10000000000.0	1.0	10000000000.0	0.0	133.88084920269685	133.58449048649197	18.345082256084545	35.3869953864616	35.495223652049205	2.3235924393237606
EX_h_e_f	8675778306.0	1.0	8675778306.0	0.0	347.8938161801645	354.88507436663093	70.34327626062156	197.59228367754957	191.0367261780758	107.17672811669014
EX_h2o_e_f	5151960883.0	1.0	5151960883.0	2.759603393094966e-32	92.24027099131003	95.50341453233528	36.65058213749408	89.93202859845155	89.38093112607785	51.68336473167606
EX_ump_e_r	2744588261.0	0.0	2744588261.0	1.0	1.0942260923620968e-05	1.1084973215043562e-05	5.767581322173868e-06	1.844810706927656e-05	1.7708412169899082e-05	1.0361162780435423e-05
EX_pi_e_r	221560559.0	0.0	221560559.0	1.0	0.00020602556245691335	0.00021039882927785	2.086077354549571e-05	0.00038830805721868863	0.0004024946618566	7.336631033872313e-05
EX_nh4_e	10000000000.0	1.0	10000000000.0	0.0	90.38878587400967	86.97589264198436	21.888249037141165	13.482961882476891	13.208344965036492	2.4228463406289067
EX_o2_e_r	10000000000.0	1.0	10000000000.0	0.0	102.34235170772084	101.70404170767716	12.374509728976896	19.597218671289554	19.634467386625353	1.40987051802614
EX_arg__L_e_r	427822516.0	0.0	427822516.0	1.0	0.09602823348741069	0.100972198441241	0.02082848782822151	0.19459070761034203	0.20083321991295272	0.04921742698349158
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	4.80662886932228e-05	4.830445793683955e-05	2.0290540709999795e-05	0.0	0.0	0.0
EX_leu__L_e_r	248121999.0	0.0	248121999.0	1.0	0.00014306368302125058	0.0001451872464701	1.5127073154885272e-05	0.00027116117724535735	0.0002792515991554	5.2830232026300694e-05
EX_ile__L_e_r	217383427.0	0.0	217383427.0	1.0	6.588292789143909e-05	6.749576160974713e-05	6.165549154120914e-06	0.0001246601048163683	0.00012937934745125	2.391755029055496e-05
EX_met__L_e_r	1156980782.0	0.0	1156980782.0	1.0	0.0026946260829092466	0.00282358856721305	0.0013095055763519214	0.015455944244295222	0.01518107009871115	0.010021984039528526
EX_gly_e_r	4001577429.0	0.0	4001577429.0	1.0	0.10009200471251462	0.09142673471229315	0.06551826021910329	0.1223083057036054	0.12005998974582541	0.06415266878833463
EX_phe__L_e_r	790850004.0	0.0	790850004.0	1.0	9.798723939501826e-05	0.000100282550258	9.080557049903368e-06	0.00015403335145257677	0.00015512296941225001	3.6674162259241614e-05
EX_ser__L_e_r	3453400625.0	0.0	3453400625.0	1.0	0.12181327920465447	0.11955185540328775	0.06330074552956273	0.15574586359869155	0.16348776148399205	0.058367167483151454
EX_ala__L_e_f	8990059862.0	1.0	8990059862.0	0.0	2.632641349944912	1.9548938818455714	2.314653092271021	0.3234154345446568	0.22812703915644325	0.3204239553055911
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	10000000000.0	1.0	10000000000.0	0.0	0.03327386411028134	0.034625473604515095	0.008052880010086264	0.0	0.0	0.0
EX_fol_e_r	6609381305.0	1.0	6609381305.0	0.0	0.00018101006128953863	0.0001917512634668	4.891317421491377e-05	0.00015542810223120168	0.0001591664470484	4.7517090208905666e-05
EX_urea_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.06800697461057627	0.06317416438649881	0.04655356659221038
EX_pyr_e	10000000000.0	1.0	10000000000.0	0.0	0.3310787732822951	0.3532808741560277	0.11857188257379023	0.0	0.0	0.0
PYRt2	10000000000.0	1.0	10000000000.0	0.0	0.3310787732822951	0.3532808741560277	0.11857188257379023	0.0	0.0	0.0
EX_gudac_e	4361853075.0	0.0	4361853075.0	1.0	0.043572741708967244	0.040789589577656	0.027098846704638354	0.056141749546718814	0.0472350785298482	0.04218915533648291
EX_hdca_e_f	5224675446.0	1.0	5224675446.0	3.898165869887495e-68	2.0430079627111124	2.0233393823195494	0.8586449763821334	1.9709461972286482	1.9673932203843212	0.15966953741814593
EX_ptrcIN_e	10000000000.0	1.0	10000000000.0	0.0	0.00033842245868612636	0.0003483239296449	9.338624053090368e-05	0.0	0.0	0.0
EX_ptrcOUT_e	210077403.0	0.0	210077403.0	1.0	0.03431419464974558	0.030328562499091202	0.023668718413058377	0.16070230538416835	0.16459847223868054	0.05343517546370793
EX_biomassx	217383427.0	0.0	217383427.0	1.0	0.0002302970794378739	0.00023593482060745	2.155198636078562e-05	0.00043575564991507533	0.00045225199928445	8.360499685599641e-05
