	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000000000.0	1.0	10000000000.0	0.0	4.849040869691317	4.894407199464072	0.20446512656312715	0.07230849968404472	0.07386774911408656	0.007129262349470085
EX_glc__D_e_r	10000000000.0	1.0	10000000000.0	0.0	2.7716085881134513	2.7974778329574557	0.11684238624051443	0.10310752898547904	0.10449694994968975	0.012667670728502046
EX_gluIN__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.003208889573111787	0.0027762722601669503	0.0023257360305387192
EX_gluOUT__L_e	10000000000.0	1.0	10000000000.0	0.0	0.13240445274774854	0.1327271090909769	0.00980225639786709	0.011242475896276194	0.0113649094993209	0.0012342993457784685
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.6812584211813063	0.684083531472373	0.0378890275555196	0.20575101460061032	0.2097812972932194	0.02062552109280859
EX_asp__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.029768632148781168	0.03117442581858325	0.01245126682997947
DM_asp__L_e	602728659.0	0.0	602728659.0	1.0	0.08799274103214484	0.0604029090310608	0.0884971775255376	1.0831407565877222	0.8648372531576679	0.9038676114674138
EX_co2_e	711849.0	0.0	711849.0	1.0	28.6936738766798	28.48135608799488	8.6974877163257	106.66415586501101	103.55974708331904	23.858949967536812
EX_h_e_f	3305132492.0	0.0	3305132492.0	1.0	205.70040376203718	202.32509450491887	112.32342365582076	265.22791459621067	276.3978452570732	83.21057100033582
EX_h2o_e_f	3650243196.0	0.0	3650243196.0	1.0	92.13449134539742	92.49900554149994	40.58251383831706	111.87439522424661	113.65971415427923	39.62213217769034
EX_ump_e_r	9852513645.0	1.0	9852513645.0	0.0	7.969525793220796e-06	8.147721194865551e-06	3.1148161703412016e-06	8.155400004913579e-07	7.934496931475593e-07	3.781079800887867e-07
EX_pi_e_r	10000000000.0	1.0	10000000000.0	0.0	0.00013446335958002044	0.00013465366890815	4.810766860925424e-06	1.3709477024157512e-05	1.4067730758748922e-05	3.0038157753845687e-06
EX_nh4_e	836954364.0	0.0	836954364.0	1.0	35.074234965713906	34.85162563944773	11.280802557924398	79.35219950642238	73.70548530909102	34.16253431850926
EX_o2_e_r	0.0	0.0	0.0	1.0	2.159829837415031	2.084834313734803	0.5109483314884482	61.26494346683032	61.39981618763354	6.229646505509174
EX_arg__L_e_r	9990720512.0	1.0	9990720512.0	0.0	0.19028622214078827	0.19745691876193944	0.030692539929155906	0.07923693295697681	0.08220049245106885	0.011597630413747763
EX_pro__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.128505058945342e-06	5.287263797827085e-06	1.4408787107285994e-06
EX_leu__L_e_r	10000000000.0	1.0	10000000000.0	0.0	9.471433316781025e-05	9.520795353424908e-05	5.249728898242413e-06	8.794299649158303e-06	9.04765957675055e-06	1.8867293964169657e-06
EX_ile__L_e_r	10000000000.0	1.0	10000000000.0	0.0	4.367331951411451e-05	4.40268519683484e-05	1.1405257257305796e-06	4.419726108723821e-06	4.545589449906242e-06	9.654120776951985e-07
EX_met__L_e_r	18142396.0	0.0	18142396.0	1.0	2.3360076852431764e-05	2.3549175402615515e-05	6.100467642849005e-07	0.003178885611984608	0.0031131777780595	0.0016703281308628282
EX_gly_e_r	8194969543.0	1.0	8194969543.0	0.0	0.11010475344917926	0.1017406491706647	0.07371257433220965	0.03253809322170213	0.032835390640467546	0.015042956717422949
EX_phe__L_e_r	10000000000.0	1.0	10000000000.0	0.0	5.2525832641625694e-05	5.293514047818756e-05	7.304532381768254e-06	5.568109244513824e-06	5.5858012406329015e-06	1.5159848220366579e-06
EX_ser__L_e_r	9551508445.0	1.0	9551508445.0	0.0	0.150424085187332	0.14635543555743719	0.09013483104337291	0.013647003943219875	0.010709809529387201	0.011568559398991415
EX_ala__L_e_f	886730393.0	0.0	886730393.0	1.0	0.16635803063061674	0.1215343926476408	0.15677528919835992	1.2734906973327198	0.9988113134478291	1.0796315265646044
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.010549896726294422	0.0106616137661099	0.0011671769469139067
EX_fol_e_r	64440732.0	0.0	64440732.0	1.0	0.0002742973484660266	0.0002916611197992	7.947336388935027e-05	0.0013948184205558544	0.0014531160136467	0.00042284983033433996
EX_urea_e	7179964439.0	1.0	7179964439.0	0.0	0.06444522644836341	0.05513892094016905	0.04679200008467819	0.030161610378774545	0.0288198931660767	0.018199435287280394
EX_pyr_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0084534980765736	0.00863599547234635	0.002352342067171533
PYRt2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.008453498076573633	0.00863599547234635	0.0023523420671715247
EX_gudac_e	8815916361.0	1.0	8815916361.0	0.0	0.08881261131109375	0.0865539844426655	0.050426480553682096	0.02375480997605775	0.02028881642600775	0.018086899602730657
EX_hdca_e_f	5932936384.0	1.0	5932936384.0	0.0	0.3401073380212146	0.32772371767957553	0.09444989045634301	0.3290533368653041	0.26113005219243396	0.2719950567100788
EX_ptrcIN_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.00031763063834632833	0.00031919163316505	9.30579909241262e-05
EX_ptrcOUT_e	9328212218.0	1.0	9328212218.0	0.0	0.10218190220170249	0.1033047546939393	0.05256850245160967	0.019030672418813323	0.01622330834528305	0.014323294824446019
EX_biomassx	10000000000.0	1.0	10000000000.0	0.0	0.00015266227921790566	0.0001538980696465	3.986764888354145e-06	1.5449374327015406e-05	1.588933595000776e-05	3.3746463471334737e-06
EX_gthox_e	100194395.0	0.0	100194395.0	1.0	0.0203022442384527	0.018832021442812798	0.011306618635293227	0.5717956921555609	0.485175435362727	0.4176499220687473
EX_2obut_e	9936511252.0	1.0	9936511252.0	0.0	0.48257344623557497	0.4966931408533838	0.1871404009321963	0.04920349909016203	0.0501087901945374	0.010189844859672625
EX_crn_e	0.0	0.0	0.0	1.0	4.890257697739603e-18	6.42475461409332e-18	1.7634584945153598e-17	0.8956218407912944	0.9578234902442916	0.24674012662629716
EX_val__L_e_r	9768033497.0	1.0	9768033497.0	0.0	0.30533904524895406	0.3091882901339259	0.12371482740998593	0.07118620021837978	0.0740947917809341	0.020913655277622123
EX_spmd_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.01640567134664789	0.013343303517472298	0.011965954161964717
EX_sprm_e	194352170.0	0.0	194352170.0	1.0	0.0005549199333692568	0.00058590526925125	0.0002523284877212625	0.015529637790577488	0.013708981908622301	0.010771611787837535
EX_5mthf_e	64440731.0	0.0	64440731.0	1.0	0.0002742973484844595	0.0002916611198538	7.947336388927416e-05	0.001394818425369566	0.0014531160114337502	0.00042284982918131903
EX_tmlys_e_r	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.8956218407912934	0.9578234902442906	0.24674012662629805
EX_thbpt_e_r	9425450816.0	1.0	9425450816.0	0.0	1.2915161702058486e-05	1.3373164739083949e-05	7.201833606377953e-06	1.559521885380258e-06	1.4992504235258504e-06	9.181409830464813e-07
EX_CE2705_e	9425450816.0	1.0	9425450816.0	0.0	1.2915161702058486e-05	1.3373164739083949e-05	7.201833606377953e-06	1.559521885380258e-06	1.4992504235258504e-06	9.181409830464813e-07
EX_crtn_e	5242597268.0	1.0	5242597268.0	4.4355408278080355e-79	0.036973538930903375	0.0230488675975958	0.039464447310570534	0.025314962260516296	0.0223055392918965	0.016703619769919534
EX_his__L_e_r	5684015942.0	1.0	5684015942.0	0.0	0.11066179296162205	0.1223828627815379	0.059801837805542005	0.10305570274242222	0.1099532854869752	0.032475401964346125
EX_lys__L_e_r	9761116247.0	1.0	9761116247.0	0.0	0.15932211295137563	0.165839053526587	0.062322616184962515	0.022046304988317653	0.021552403209521752	0.010521359458176636
EX_carn_e_r	318822264.0	0.0	318822264.0	1.0	7.046183421162642	7.270538134033533	2.819264625219807	12.477898146018203	12.445632885243544	1.136095728104877
EX_csn_e_r	2264566633.0	0.0	2264566633.0	1.0	9.382029411244984	9.023484739120875	3.2210682933509323	23.949678773684482	21.139052563845073	16.761962631355246
EX_cys__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.08339009421200971	0.0842731449865334	0.009225777094353274
EX_cyan_e_r	8160857645.0	1.0	8160857645.0	0.0	0.15229588551160375	0.1499193838185896	0.0710755696809278	0.07698688260718732	0.0762000977141274	0.03449034717289393
EX_tcyntc	7086106864.0	1.0	7086106864.0	0.0	0.08059323630579136	0.06682632400510011	0.060924118361476584	0.03838966843502857	0.03438791836927875	0.026994019857929638
EX_tcynt_e	6692009232.0	1.0	6692009232.0	0.0	0.07170264920581124	0.05863747762589875	0.05719901011737467	0.03859721417216098	0.03293844809512855	0.028908547792025816
EX_so3_e	8552808525.0	1.0	8552808525.0	0.0	0.16767367484258847	0.1681598988038159	0.06937733369200423	0.08022106709897557	0.0776576876645052	0.038044174994563126
EX_thr__L_e_r	9942668199.0	1.0	9942668199.0	0.0	0.48263262212085545	0.4967529365387209	0.18714056205971405	0.046032491015059906	0.046889925547284245	0.010103267128369682
EX_trp__L_e_r	8983303706.0	1.0	8983303706.0	0.0	0.00478778775444961	0.004821310017287949	0.0026968319058131287	0.0009782049800705415	0.0009005838885528001	0.0005490358592487142
EX_anth_e	9216761749.0	1.0	9216761749.0	0.0	0.004785756430162163	0.0048192902671249	0.0026968332057273336	0.0007395846474445694	0.0006638956435102001	0.0004852706656494173
EX_tyr__L_e_r	9000700140.0	1.0	9000700140.0	0.0	1.1460577082951294e-05	1.0983415860034247e-05	7.212026638492017e-06	1.9583997345963657e-06	1.938310574291322e-06	9.52276107656264e-07
EX_cystinex_r	10000000000.0	1.0	10000000000.0	0.0	0.1838818805718243	0.18743207469780837	0.013713040544812297	0.06318038853565043	0.0642756620234885	0.013410721656681767
EX_3hydroxybutanoatex_r	23124722.0	0.0	23124722.0	1.0	1.0981308231237006	0.9383747824580213	0.6581996869367032	8.10908936991185	8.435295773624155	1.9199695411861033
EX_gthrd_e_r	150155829.0	0.0	150155829.0	1.0	0.024359962152969494	0.019045068624922848	0.02048599234813961	1.1125357801744111	0.9401153718810236	0.8370105861647061
EX_cmp_e_r	9671395272.0	1.0	9671395272.0	0.0	3.927036848895868e-06	4.152863664567603e-06	2.0916966737959017e-06	2.7271337284576363e-07	2.573260745766791e-07	1.7530333165551578e-07
HEX1	1705390884.0	0.0	1705390884.0	1.0	2.9372767347247293	2.919533598905886	0.20342011350875974	13.309113234902545	9.606146178348741	12.76532439332003
G6PP	105105298.0	0.0	105105298.0	1.0	0.16566814661131712	0.1187656270179348	0.15671605243083453	13.20600570591941	9.504683588535645	12.763428745211117
PGI	9802867354.0	1.0	9802867354.0	0.0	1.2991218388878587	1.238177716505654	0.7930752225449459	0.053167401263589154	0.052722197453724196	0.030156981929839437
PFK	746908880.0	0.0	746908880.0	1.0	1.2122379426786716	1.1847805091556265	0.6036244847460981	13.22040552274384	9.83130682964575	11.663216425124007
FBP	117556336.0	0.0	117556336.0	1.0	0.1817144071982426	0.1221928083798193	0.17530098609492867	13.19575681298828	9.805629140549149	11.662321660183276
FBA	9926824030.0	1.0	9926824030.0	0.0	1.0305235354804445	1.0308213425319663	0.5475458340383142	0.02464870975416571	0.0223361802872464	0.01697803295642107
TPI	10000000000.0	1.0	10000000000.0	0.0	2.279996513188676	2.256361738003495	0.27659303763600807	0.05481309456770963	0.0545367356964252	0.017787915373243663
GAPD	10000000000.0	1.0	10000000000.0	0.0	5.0504303635288865	5.03327520253456	0.3304200406014574	0.1104490357880619	0.1111682304461525	0.03869395522216096
PGK	10000000000.0	1.0	10000000000.0	0.0	4.897426294201456	4.893906120286424	0.35139132372051546	0.061591272760270085	0.0550173540601729	0.041813705106276335
DPGM	7520481731.0	1.0	7520481731.0	0.0	0.15300406932751937	0.10954109193010694	0.1454819922105406	0.04885776302712481	0.041861850924687305	0.03562271828655461
DPGase	7520481731.0	1.0	7520481731.0	0.0	0.15300406932751856	0.10954109193010664	0.1454819922105404	0.04885776302712763	0.04186185092469255	0.03562271828655469
PGM_f	10000000000.0	1.0	10000000000.0	0.0	21.87426509139406	22.36762552436202	7.711405998957156	0.4407583517472456	0.45085979364046025	0.1395520012471959
ENO_f	10000000000.0	1.0	10000000000.0	0.0	15.99469750453679	14.656846194601975	7.29938147489902	0.5287535703384947	0.5364371118975733	0.13475259053468702
PYK	156705.0	0.0	156705.0	1.0	4.994389176552934	4.9790819510559	0.3365980337685691	33.61875436207467	31.5910307159142	10.327270244416539
LDH_L	10000000000.0	1.0	10000000000.0	0.0	4.849040869692816	4.894407199467025	0.20446512656290014	0.07230849968553954	0.07386774911225615	0.007129262349088837
r0407	9931045384.0	1.0	9931045384.0	0.0	1.2494729777083196	1.2718495638534097	0.605660590754145	0.030164384813550202	0.0272692588985051	0.019941811780748372
PRPPS	3755264.0	0.0	3755264.0	1.0	0.0011327260306173467	0.0011944553486365498	0.0005042997975113899	0.04746733618960579	0.045855954122516945	0.021485879989250858
G6PDH2r	9862474228.0	1.0	9862474228.0	0.0	1.4724447374823826	1.5335055352830924	0.8001376474602259	0.04993587614725023	0.0486004501483715	0.029874645841109014
PGL	9862474228.0	1.0	9862474228.0	0.0	1.472444737482385	1.5335055352830786	0.800137647460225	0.049935876142113214	0.04860045013890875	0.02987464584043491
GND	9862474228.0	1.0	9862474228.0	0.0	1.472444737482212	1.5335055352827287	0.8001376474599147	0.04993587614211317	0.048600450138908693	0.02987464584043492
RPI	9581532232.0	1.0	9581532232.0	0.0	0.4915700631814936	0.5120065845762729	0.26675092009652657	0.048290182841679234	0.04748860647841945	0.016595594455167326
TKT2_f	9534193131.0	1.0	9534193131.0	0.0	0.5517446530258598	0.5732441181444525	0.2626786545057613	0.11015703446597364	0.10826298290601674	0.04982611701397314
RPE_f	9887884267.0	1.0	9887884267.0	0.0	1.1819750710443617	1.228199784801638	0.5249350449571378	0.1466781456438748	0.14571541018125717	0.056550252282575424
TKT1_f	9641256769.0	1.0	9641256769.0	0.0	0.5721421545834714	0.5909442020936241	0.26891337459362663	0.11165769501362718	0.113922229528097	0.046976561714284354
