	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MDAMB231	median_MDAMB231	std_MDAMB231
EX_lac__L_e	5874332339.0	1.0	5874332339.0	0.0	5.016170936694356	5.150008031112234	1.1373898947667718	4.8483189842854415	4.894466604101872	0.20104935316229713
EX_glc__D_e_r	6314980817.0	1.0	6314980817.0	0.0	2.9610055914313325	3.0400490696929126	0.6716719717178807	2.7712561678742604	2.79764026405337	0.11490915334797011
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.01826823753818846	0.016939825383568752	0.011407629676510279	0.0	0.0	0.0
EX_gluOUT__L_e	0.0	0.0	0.0	1.0	0.03954351895989985	0.040506888751532605	0.0090889121112332	0.12986805353934625	0.12956698137885714	0.009856401815727053
EX_gln__L_e_r	4699246639.0	2.42238730790018e-120	4699246639.0	1.0	0.646617752382321	0.6653088280338302	0.14709372390186937	0.6765254575804852	0.6775288395805992	0.03836125306629968
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.02760229914261351	0.0277502249080007	0.013939915194177633	0.0	0.0	0.0
DM_asp__L_e	9680806993.0	1.0	9680806993.0	0.0	2.4759271075754326	1.8269202107906977	2.088325800985572	0.09176714288576199	0.06575365432802255	0.08765583152920763
EX_co2_e	9999580804.0	1.0	9999580804.0	0.0	136.31750967247604	134.31806940164802	18.41197868794233	29.937196967780242	30.278191860849233	9.798965067355724
EX_h_e_f	8092801396.0	1.0	8092801396.0	0.0	311.76775429258	331.56697575819805	101.84265537090643	182.86360632213496	176.59231401143845	103.05191643845033
EX_h2o_e_f	6143181166.0	1.0	6143181166.0	0.0	118.00411794090347	130.85160274651827	49.9969562911416	98.13582667421271	96.57568954932118	50.677720919600745
EX_ump_e_r	6125213063.0	1.0	6125213063.0	0.0	9.515204027407963e-06	9.313870340867102e-06	6.113506672592095e-06	7.022307823625043e-06	7.182971971203125e-06	3.5197948338840936e-06
EX_pi_e_r	9973845400.0	1.0	9973845400.0	0.0	0.00020994050808301572	0.0002134746381977	1.8772606400175038e-05	0.00013530499326563	0.00013548907514684998	5.233983421206345e-06
EX_nh4_e	9971196136.0	1.0	9971196136.0	0.0	96.06347700568833	91.68027525156515	22.986732296168796	36.52480240702935	36.92216400993263	12.613388837184633
EX_o2_e_r	10000000000.0	1.0	10000000000.0	0.0	102.95150873020299	102.65776847950681	10.700184592249633	2.295775081258746	2.211797456954569	0.5450895338939868
EX_arg__L_e_r	207963244.0	0.0	207963244.0	1.0	0.0912680502531361	0.09674526405992515	0.024189607246629816	0.18213401412306962	0.18817408180444362	0.033734078412158086
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	4.884056769441078e-05	4.904646291070531e-05	2.155819450220206e-05	0.0	0.0	0.0
EX_leu__L_e_r	9967106365.0	1.0	9967106365.0	0.0	0.00014736461756016366	0.00014958318262825	1.3685159625533918e-05	9.384409668226567e-05	9.413283295463804e-05	5.394637822184107e-06
EX_ile__L_e_r	9977326859.0	1.0	9977326859.0	0.0	6.683795514345628e-05	6.825538180836551e-05	5.350057464075189e-06	4.36713715857623e-05	4.4027449470265617e-05	1.1455642382264856e-06
EX_met__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.0026805567766895085	0.00287581711043755	0.0013729110857888598	2.335903443347311e-05	2.354949473295381e-05	6.127417444734208e-07
EX_gly_e_r	4844114886.0	7.17748848707975e-34	4844114886.0	1.0	0.10808107430753444	0.10549407926947925	0.06601669319019307	0.11444279925728075	0.10376776494185685	0.07599333486125281
EX_phe__L_e_r	9998017617.0	1.0	9998017617.0	0.0	9.906402696426428e-05	0.00010109998443755001	7.813278393304162e-06	5.161678202400944e-05	5.1759555819330215e-05	6.6750814760712736e-06
EX_ser__L_e_r	5156835146.0	1.0	5156835146.0	2.926114509136976e-34	0.12358002322533489	0.12387266897930829	0.06645894484776345	0.12315121115358445	0.1138025483460247	0.078779955490754
EX_ala__L_e_f	9406897787.0	1.0	9406897787.0	0.0	2.427765056162071	1.824423864104534	2.1686600432072987	0.17452229714335285	0.12435165478044524	0.1669582544786681
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	10000000000.0	1.0	10000000000.0	0.0	0.02994381477326721	0.0314376784311623	0.00955226682797522	0.0	0.0	0.0
EX_fol_e_r	1603627309.0	0.0	1603627309.0	1.0	0.00017810620454774057	0.0001882249307802	5.011870558111067e-05	0.0002729934125581947	0.000287841879331	7.835550063203742e-05
EX_urea_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.05838375318609682	0.050794094446297997	0.04320766622865345
EX_pyr_e	10000000000.0	1.0	10000000000.0	0.0	0.30377584027700943	0.31447087669426865	0.1250875257859832	0.0	0.0	0.0
PYRt2	10000000000.0	1.0	10000000000.0	0.0	0.30377584027700943	0.31447087669426865	0.1250875257859832	0.0	0.0	0.0
EX_gudac_e	2308690001.0	0.0	2308690001.0	1.0	0.03896838960182707	0.033212914355860795	0.02866396342019948	0.08125835654791579	0.07913119307730859	0.046783505159739336
EX_hdca_e_f	9780747514.0	1.0	9780747514.0	0.0	1.9875404713597538	1.9438696690998092	0.8443201743634786	0.366835121800887	0.3537654927514242	0.10263632405892202
EX_ptrcIN_e	10000000000.0	1.0	10000000000.0	0.0	0.0003315891540712647	0.00033588482521815	8.487212074894337e-05	0.0	0.0	0.0
EX_ptrcOUT_e	1243446508.0	0.0	1243446508.0	1.0	0.03119414611258597	0.0271894281245427	0.022026363950731955	0.09489041312390403	0.0908260052751427	0.0500768212567013
EX_biomassx	9977326859.0	1.0	9977326859.0	0.0	0.00023363542510588094	0.0002385901111178	1.8701394249383166e-05	0.00015265547013663635	0.00015390015824445	4.004377261539067e-06
EX_gthox_e	9905271354.0	1.0	9905271354.0	0.0	0.7156379414114603	0.6140817404122321	0.5217567618763634	0.02098324333149942	0.0194178792549399	0.011620963055484131
EX_2obut_e	77187503.0	0.0	77187503.0	1.0	0.013224779697350942	0.01326269229070925	0.0030627649412303774	0.5585703293893789	0.6129680285195209	0.19343344002922302
EX_crn_e	10000000000.0	1.0	10000000000.0	0.0	18.6748652732911	18.980107149890358	2.55754735257894	4.0202790973022966e-19	1.2816209019847167e-18	1.7488496513547e-17
EX_val__L_e_r	4950634.0	0.0	4950634.0	1.0	0.021101950699727617	0.02216129523331075	0.005796985721233997	0.3407291945398308	0.3541716403373225	0.11658292582163653
EX_spmd_e	10000000000.0	1.0	10000000000.0	0.0	0.002335364760926032	0.00211401080987685	0.0014657960191113571	0.0	0.0	0.0
EX_sprm_e	8050967656.0	1.0	8050967656.0	0.0	0.0013762729018526932	0.0012470865301205001	0.0008627515455080318	0.0005259682696987814	0.0005359639955642	0.00023117173205553272
EX_5mthf_e	1603627524.0	0.0	1603627524.0	1.0	0.00017810621500367988	0.00018822495152800002	5.011870404200298e-05	0.0002729934125597646	0.00028784187933235004	7.835550063263381e-05
