	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000000000.0	1.0	10000000000.0	0.0	4.999557154080878	5.103101946685164	1.0911389119432726	0.07168509894314563	0.073375304833535	0.007691531855992375
EX_glc__D_e_r	9999453082.0	1.0	9999453082.0	0.0	2.9510701167547255	3.012555274635888	0.644047253949202	0.10361524031318577	0.10547396736763355	0.013102234413491889
EX_gluIN__L_e	9350494904.0	1.0	9350494904.0	0.0	0.019178577577382453	0.01893085153801105	0.010484396877686555	0.0031427552884272223	0.0027102906911650997	0.0023043568305592546
EX_gluOUT__L_e	9995520138.0	1.0	9995520138.0	0.0	0.04031223697181093	0.0408147885889002	0.009174978355221916	0.011113390029217806	0.01126464851453005	0.0013102780580113386
EX_gln__L_e_r	9995443793.0	1.0	9995443793.0	0.0	0.6497323133038271	0.6632989771716887	0.14248652439796522	0.20429898827910387	0.20927201433642617	0.022711418335637786
EX_asp__L_e	3871401596.0	0.0	3871401596.0	1.0	0.02305600401426601	0.02223590507343345	0.014047985936163028	0.028346101305802163	0.02921408584787965	0.011868681382314417
DM_asp__L_e	7197956174.0	1.0	7197956174.0	0.0	2.5462532707116132	2.0588927326749484	2.0048308545719626	1.1241632741281413	0.9058813413580555	0.918570821813972
EX_co2_e	8883692265.0	1.0	8883692265.0	0.0	138.65509754604412	137.43793696541235	18.250709179278015	103.44621162038155	100.13395546803866	21.550981464758262
EX_h_e_f	7092760946.0	1.0	7092760946.0	0.0	331.7224958044773	339.3960776089956	71.89948595912342	273.90519371736474	277.31414036538274	74.62896708547757
EX_h2o_e_f	3943970372.0	0.0	3943970372.0	1.0	89.58796593244175	95.60423885157414	42.42827923141346	105.45527701918805	111.79262550023708	44.13353545560563
EX_ump_e_r	9563332255.0	1.0	9563332255.0	0.0	1.0298607958411823e-05	1.0343490879255552e-05	6.124826001019719e-06	8.472689028941958e-07	8.52713595914487e-07	3.59969020760799e-07
EX_pi_e_r	9999402276.0	1.0	9999402276.0	0.0	0.00020682599754769378	0.00021046946528450002	1.9637057405457492e-05	1.3463719233606555e-05	1.3775943499656149e-05	3.0336881751585157e-06
EX_nh4_e	7411539179.0	1.0	7411539179.0	0.0	97.00728366735733	92.11900983369114	22.95415098753485	73.53253861105848	67.89787518116287	31.20982717417075
EX_o2_e_r	9992663356.0	1.0	9992663356.0	0.0	103.71066289339868	104.09306177408182	12.102838616552521	62.51473307611659	62.584758759124355	6.108414237792183
EX_arg__L_e_r	6520304918.0	1.0	6520304918.0	0.0	0.08800321163817394	0.09147593056097164	0.024532030918403308	0.07825273834774013	0.0812085962582681	0.012156564986487237
EX_pro__L_e	9894652294.0	1.0	9894652294.0	0.0	5.025590858530922e-05	4.987219235739492e-05	2.1507210754220715e-05	5.119285394452319e-06	5.170856547010802e-06	1.4679980964929815e-06
EX_leu__L_e_r	9999401877.0	1.0	9999401877.0	0.0	0.00014318623726323782	0.00014518707962785	1.410646360632064e-05	8.650305714655233e-06	8.855915962078189e-06	1.887344785253008e-06
EX_ile__L_e_r	9999401963.0	1.0	9999401963.0	0.0	6.601715997017433e-05	6.746027067400568e-05	5.852627445557958e-06	4.36159747590702e-06	4.4624633952920395e-06	9.759182645621226e-07
EX_met__L_e_r	4224640109.0	0.0	4224640109.0	1.0	0.002816660569394451	0.00289748061814835	0.0011946638181796318	0.0032201622696696815	0.003259591681889	0.001573567759177484
EX_gly_e_r	8143397912.0	1.0	8143397912.0	0.0	0.10665032238451211	0.09659186445780765	0.0691492730521866	0.035529396290399216	0.036821121947176544	0.014142816369899175
EX_phe__L_e_r	9999408569.0	1.0	9999408569.0	0.0	9.825749270224859e-05	0.0001003170794378	8.65884253386088e-06	5.5627604939352845e-06	5.553548320811255e-06	1.5415282490245176e-06
EX_ser__L_e_r	9661708037.0	1.0	9661708037.0	0.0	0.1071544387956978	0.10469311988915166	0.05610989960795385	0.012241436016468906	0.0097185363050348	0.009967822582085572
EX_ala__L_e_f	7117452219.0	1.0	7117452219.0	0.0	2.5251991672571052	1.9429248738524338	2.1928247115205215	1.1238799841527656	0.8676652193702725	0.9761426583760235
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	9998385280.0	1.0	9998385280.0	0.0	0.03255503640331126	0.0325424196171646	0.006878505827857067	0.010639551824516648	0.01074819046179645	0.0010355684409983552
EX_fol_e_r	8706220.0	0.0	8706220.0	1.0	0.00017579952811459562	0.00018672740287965	5.1789984752493045e-05	0.001398257132778442	0.00145038922158935	0.00042197923289861744
EX_urea_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.027879253287098463	0.02577517117275665	0.01826768058347432
EX_pyr_e	9953805784.0	1.0	9953805784.0	0.0	0.2752851213374062	0.2702672418738722	0.1290809504395188	0.007916326004456556	0.0080567049232033	0.0024622524179465865
PYRt2	9953805784.0	1.0	9953805784.0	0.0	0.2752851213374062	0.2702672418738722	0.1290809504395188	0.007916326004456607	0.0080567049232034	0.002462252417946588
EX_gudac_e	6131373865.0	1.0	6131373865.0	0.0	0.03589659019578733	0.029758668044606	0.027020968045662775	0.02441095827428505	0.02124772183604305	0.01742232399432635
EX_hdca_e_f	9829277305.0	1.0	9829277305.0	0.0	2.1582821359762483	2.152726978992537	0.8532898092454053	0.3053976711503451	0.2372989889650451	0.260410312484437
EX_ptrcIN_e	4845478155.0	2.576749949293639e-33	4845478155.0	1.0	0.000301944052520789	0.00030454437472435	8.044975053536651e-05	0.0003031336502474199	0.0003120398454055	0.00010332336346229683
EX_ptrcOUT_e	6744676285.0	1.0	6744676285.0	0.0	0.03495663949329905	0.029210939340058	0.026425678377307228	0.019065429461186556	0.01600819238654995	0.014358236186116322
EX_biomassx	9999401963.0	1.0	9999401963.0	0.0	0.00023076629440278918	0.0002358107602612	2.045815283090134e-05	1.52461827750025e-05	1.5598764656115795e-05	3.411371250365798e-06
EX_gthox_e	5691134995.0	1.0	5691134995.0	0.0	0.7354586123747291	0.6526534965050672	0.5030278602579075	0.6097695845800526	0.5322349347341149	0.4390357361415941
